bet_id,payload_path,cutoff,calib_floor,proba_log,decision_log,proba_cli,decision_cli,abs_diff_proba,match6_proba,match_decision,payload_hash_log,payload_hash_recomputed,match_payload_hash
23329,/workspace/payloads_21_01_22_01/payload023329.csv,0.0,0.005,0.28042710707116814,1,0.280427,1,1.0707116815389384e-07,1,1,36aa82f9e59a5e9f,36aa82f9e59a5e9f,1
23332,/workspace/payloads_21_01_22_01/payload023332.csv,0.0,0.005,0.08289250862128887,1,0.082893,1,4.913787111232581e-07,1,1,8abd1a6e1ade27be,8abd1a6e1ade27be,1
23334,/workspace/payloads_21_01_22_01/payload023334.csv,0.0,0.005,0.2274742195765549,1,0.227474,1,2.195765548829165e-07,1,1,f081d739689bbc93,f081d739689bbc93,1
23335,/workspace/payloads_21_01_22_01/payload023335.csv,0.0,0.005,0.1888647555773517,1,0.188865,1,2.444226483155898e-07,1,1,95db82f2d0897047,95db82f2d0897047,1
23337,/workspace/payloads_21_01_22_01/payload023337.csv,0.0,0.005,0.24898062322471906,1,0.248981,1,3.7677528094692825e-07,1,1,9c031f667ff65c06,9c031f667ff65c06,1
23340,/workspace/payloads_21_01_22_01/payload023340.csv,0.0,0.005,0.18530747396524777,1,0.185307,1,4.739652477714351e-07,1,1,bd9e68b7f16a6068,bd9e68b7f16a6068,1
23341,/workspace/payloads_21_01_22_01/payload023341.csv,0.0,0.005,0.20657161086123474,1,0.206572,1,3.891387652665834e-07,1,1,d01c69839ae1f529,d01c69839ae1f529,1
23342,/workspace/payloads_21_01_22_01/payload023342.csv,0.0,0.005,0.24065622781512835,1,0.240656,1,2.2781512834524342e-07,1,1,6700371225a4160c,6700371225a4160c,1
23343,/workspace/payloads_21_01_22_01/payload023343.csv,0.0,0.005,0.1481846765213696,1,0.148185,1,3.2347863040960156e-07,1,1,af1785a946a312ed,af1785a946a312ed,1
23346,/workspace/payloads_21_01_22_01/payload023346.csv,0.0,0.005,0.07693077944788407,1,0.076931,1,2.2055211593152713e-07,1,1,a74dface7d5b3b8a,a74dface7d5b3b8a,1
23347,/workspace/payloads_21_01_22_01/payload023347.csv,0.0,0.005,0.23216129095738638,1,0.232161,1,2.9095738637852087e-07,1,1,9a098ca736f86075,9a098ca736f86075,1
23355,/workspace/payloads_21_01_22_01/payload023355.csv,0.0,0.005,0.2705289567171888,1,0.270529,1,4.328281122401023e-08,1,1,3894a77de9b3e81f,3894a77de9b3e81f,1
