bet_id,payload_path,cutoff,calib_floor,proba_cal_log,proba_cal_cli,abs_diff_cal,match6_cal,decision_log,decision_cli,match_decision,proba_raw_log,proba_raw_cli,abs_diff_raw,match6_raw
23456,/workspace/payloads_22_01_26/payload023456.csv,0.62,0.005,0.4536082474226804,0.453608,2.4742268039945614e-07,1,0,0,1,0.5200359586176357,0.520036,4.138236431305842e-08,1
23457,/workspace/payloads_22_01_26/payload023457.csv,0.62,0.005,0.3,0.3,0.0,1,0,0,1,0.327619804869989,0.32762,1.9513001103810268e-07,1
23458,/workspace/payloads_22_01_26/payload023458.csv,0.62,0.005,0.3125580697921629,0.312558,6.979216288227619e-08,1,0,0,1,0.3978122929627804,0.397812,2.9296278042378887e-07,1
23459,/workspace/payloads_22_01_26/payload023459.csv,0.62,0.005,0.44272445820433437,0.442724,4.58204334363721e-07,1,0,0,1,0.43708302222191703,0.437083,2.2221917028719673e-08,1
23460,/workspace/payloads_22_01_26/payload023460.csv,0.62,0.005,0.4536082474226804,0.453608,2.4742268039945614e-07,1,0,0,1,0.5627192167613154,0.562719,2.167613154524517e-07,1
23465,/workspace/payloads_22_01_26/payload023465.csv,0.62,0.005,0.08601226430081543,0.086012,2.643008154279425e-07,1,0,0,1,0.22773900496650876,0.227739,4.966508759807198e-09,1
23466,/workspace/payloads_22_01_26/payload023466.csv,0.62,0.005,0.4536082474226804,0.453608,2.4742268039945614e-07,1,0,0,1,0.5498915150197102,0.549892,4.849802898165834e-07,1
23468,/workspace/payloads_22_01_26/payload023468.csv,0.62,0.005,0.4909090909090909,0.490909,9.0909090921798e-08,1,0,0,1,0.582772157575149,0.582772,1.5757514904013448e-07,1
23469,/workspace/payloads_22_01_26/payload023469.csv,0.62,0.005,0.4909090909090909,0.490909,9.0909090921798e-08,1,0,0,1,0.6147797143586968,0.61478,2.8564130316599545e-07,1
23471,/workspace/payloads_22_01_26/payload023471.csv,0.62,0.005,0.16666666666666666,0.166667,3.333333333521704e-07,1,0,0,1,0.2760131367540037,0.276013,1.3675400367674229e-07,1
23473,/workspace/payloads_22_01_26/payload023473.csv,0.62,0.005,0.3,0.3,0.0,1,0,0,1,0.3256494506815183,0.325649,4.506815182714341e-07,1
23476,/workspace/payloads_22_01_26/payload023476.csv,0.62,0.005,0.3125,0.3125,0.0,1,0,0,1,0.3779995142096159,0.378,4.857903840860267e-07,1
23477,/workspace/payloads_22_01_26/payload023477.csv,0.62,0.005,0.27505316186341144,0.275053,1.6186341145196792e-07,1,0,0,1,0.32311249224082184,0.323112,4.922408218255292e-07,1
23478,/workspace/payloads_22_01_26/payload023478.csv,0.62,0.005,0.31070653200337217,0.310707,4.679966278398062e-07,1,0,0,1,0.3631187188438561,0.363119,2.8115614392199006e-07,1
23480,/workspace/payloads_22_01_26/payload023480.csv,0.62,0.005,0.16666666666666666,0.166667,3.333333333521704e-07,1,0,0,1,0.3155029904080351,0.315503,9.591964889033022e-09,1
23482,/workspace/payloads_22_01_26/payload023482.csv,0.62,0.005,0.44272445820433437,0.442724,4.58204334363721e-07,1,0,0,1,0.45454065425042944,0.454541,3.457495705294633e-07,1
23483,/workspace/payloads_22_01_26/payload023483.csv,0.62,0.005,0.4909090909090909,0.490909,9.0909090921798e-08,1,0,0,1,0.596866393058048,0.596866,3.930580479982737e-07,1
23485,/workspace/payloads_22_01_26/payload023485.csv,0.62,0.005,0.35555555555555557,0.355556,4.444444444140494e-07,1,0,0,1,0.41058520667903936,0.410585,2.0667903938287324e-07,1
23487,/workspace/payloads_22_01_26/payload023487.csv,0.62,0.005,0.4909090909090909,0.490909,9.0909090921798e-08,1,0,0,1,0.6143919798909134,0.614392,2.0109086618091965e-08,1
23488,/workspace/payloads_22_01_26/payload023488.csv,0.62,0.005,0.44272445820433437,0.442724,4.58204334363721e-07,1,0,0,1,0.45150838604205507,0.451508,3.8604205504499944e-07,1
23489,/workspace/payloads_22_01_26/payload023489.csv,0.62,0.005,0.16666666666666666,0.166667,3.333333333521704e-07,1,0,0,1,0.28892240982676026,0.288922,4.098267602503647e-07,1
23490,/workspace/payloads_22_01_26/payload023490.csv,0.62,0.005,0.44272445820433437,0.442724,4.58204334363721e-07,1,0,0,1,0.44895125196088176,0.448951,2.519608817697083e-07,1
23492,/workspace/payloads_22_01_26/payload023492.csv,0.62,0.005,0.48924124936179714,0.489241,2.4936179715551177e-07,1,0,0,1,0.5727474570722828,0.572747,4.5707228280011947e-07,1
23493,/workspace/payloads_22_01_26/payload023493.csv,0.62,0.005,0.44272445820433437,0.442724,4.58204334363721e-07,1,0,0,1,0.45580973640681677,0.45581,2.6359318322510816e-07,1
