rule_key,weeks_total_before,weeks_active_before,active_rate_before,profit_before,stake_before,roi_on_stake_before,mean_week_before,std_week_before,weeks_total_after,weeks_active_after,active_rate_after,profit_after,stake_after,roi_on_stake_after,mean_week_after,std_week_after,n_obs_before,bias_roi_before,bias_pnl_before,bias_roi_shrunk_before,bias_pnl_shrunk_before,n_obs_after,bias_roi_after,bias_pnl_after,bias_roi_shrunk_after,bias_pnl_shrunk_after,delta_mean_week,delta_roi_on_stake,delta_bias_roi_shrunk,delta_active_rate
FH|domingo,16.0,2.0,0.125,-118.57058510184288,1537.929385304451,-0.07709754832363155,-7.41066156886518,22.18021160276899,,,,,,,,,2.0,-0.07869207474841751,-58.07705123919715,-0.02159268720153341,-13.911396754794874,,,,,,,,,
FH|quarta-feira,16.0,6.0,0.375,-231.9010711610317,2691.073313832283,-0.0861741930140089,-14.493816947564481,115.13236476997807,16.0,7.0,0.4375,104.90475150942805,3790.813843667507,0.027673411524723045,6.556546969339253,116.02386703182066,7.0,-0.21698514783889436,-52.220500314971254,-0.02159268720153341,-13.911396754794874,8.0,-0.2219606763030999,-14.258527688970783,0.0115538306485474,-9.756880667651972,21.050363916903734,0.11384760453873194,0.03314651785008081,0.0625
FH|quinta-feira,16.0,10.0,0.625,90.03341001272197,9915.796209812164,0.00907979632776534,5.627088125795123,147.3838773490374,16.0,10.0,0.625,319.93752780556684,7228.347626328468,0.04426150267596833,19.996095487847928,146.8843482858708,11.0,-0.020634215208144787,-20.602600860878738,-0.02159268720153341,-13.911396754794874,10.0,-0.1173463050955254,-36.01586725266617,0.0115538306485474,-9.756880667651972,14.369007362052805,0.03518170634820299,0.03314651785008081,0.0
FH|sexta-feira,16.0,4.0,0.25,-92.0,2737.0,-0.03361344537815126,-5.75,73.33598480055113,,,,,,,,,5.0,-0.235338568996438,-4.337522751875766,-0.02159268720153341,-13.911396754794874,,,,,,,,,
FH|sábado,16.0,12.0,0.75,453.40466368198395,8181.356674730778,0.05541925156281052,28.337791480123997,88.86732983761235,16.0,12.0,0.75,657.9858087599277,6464.75646173954,0.10178044798038326,41.124113047495484,74.08828936002763,13.0,0.02896071977541268,7.53793429924113,-0.02159268720153341,-13.911396754794874,12.0,0.0466428080272051,14.466504874131084,0.0115538306485474,-9.756880667651972,12.786321567371488,0.046361196417572734,0.03314651785008081,0.0
FH|terça-feira,16.0,6.0,0.375,-6.804109185934067,2145.649310231209,-0.003171118949163634,-0.4252568241208792,74.16573120673195,16.0,5.0,0.3125,-152.60354751348495,2745.94757938385,-0.05557409349661618,-9.53772171959281,70.73026186844562,6.0,0.03634156962978231,-71.5712415867021,-0.02159268720153341,-13.911396754794874,6.0,-0.0006745870394571,-64.25978347807427,0.0115538306485474,-9.756880667651972,-9.11246489547193,-0.05240297454745254,0.03314651785008081,-0.0625
FT|domingo,16.0,4.0,0.25,46.0,822.147813975811,0.055951009317350565,2.875,20.35640767260602,16.0,2.0,0.125,0.23342978954315186,68.5331404209137,0.003406086283358438,0.014589361846446991,8.35588939433737,4.0,0.22112146518822137,1.8535666009579739,-0.02159268720153341,-13.911396754794874,5.0,0.2148722955271852,-11.570892368448972,0.0115538306485474,-9.756880667651972,-2.860410638153553,-0.05254492303399213,0.03314651785008081,-0.125
FT|quarta-feira,16.0,11.0,0.6875,298.426332205534,11128.73123627901,0.026815845029367017,18.651645762845874,202.591215872624,16.0,12.0,0.75,41.13250949978828,11111.850208759308,0.0037016796237375597,2.5707818437367673,228.0633160447743,12.0,-0.1776029924348229,-93.16535243113884,-0.02159268720153341,-13.911396754794874,12.0,-0.1841278147232128,-99.08760259658176,0.0115538306485474,-9.756880667651972,-16.080863919109106,-0.023114165405629456,0.03314651785008081,0.0625
FT|quinta-feira,16.0,2.0,0.125,-195.72434362769124,3428.490625858307,-0.05708761230131482,-12.232771476730703,129.6171707087129,16.0,2.0,0.125,-120.30757224559784,2614.843226611614,-0.04600947812901797,-7.519223265349865,119.65590487108503,2.0,0.01886282528173039,-309.5616541847073,-0.02159268720153341,-13.911396754794874,2.0,0.1080466434624703,-94.13200790825486,0.0115538306485474,-9.756880667651972,4.713548211380838,0.011078134172296854,0.03314651785008081,0.0
FT|segunda-feira,16.0,9.0,0.5625,992.675254702568,3374.5927102565765,0.2941615003450574,62.0422034189105,149.60700486926876,16.0,9.0,0.5625,979.3280153274536,3244.0982825756073,0.30187988464699955,61.20800095796585,140.15105173050702,9.0,0.1643498338230451,47.82796023447678,-0.02159268720153341,-13.911396754794874,9.0,0.16547292732412,39.44670744034515,0.0115538306485474,-9.756880667651972,-0.8342024609446526,0.0077183843019421605,0.03314651785008081,0.0
FT|sexta-feira,,,,,,,,,16.0,3.0,0.1875,-11.5,460.0,-0.025,-0.71875,17.04109615996968,,,,,,4.0,-0.238655007631791,-22.071516121110182,0.0115538306485474,-9.756880667651972,,,,
FT|sábado,16.0,10.0,0.625,893.9586536288263,10436.885674357414,0.08565377465283638,55.87241585180164,136.95375737568665,16.0,10.0,0.625,986.3759108185768,7592.1838990449905,0.1299199181598659,61.64849442616105,131.60737492253517,10.0,0.07436509704231718,-40.92182976881634,-0.02159268720153341,-13.911396754794874,12.0,0.158979206827459,30.67716906786114,0.0115538306485474,-9.756880667651972,5.77607857435941,0.04426614350702951,0.03314651785008081,0.0
FT|terça-feira,16.0,10.0,0.625,957.1150453686714,10170.500102877617,0.09410697956709795,59.819690335541964,127.07590558083298,16.0,8.0,0.5,1174.464414536953,9604.530413150787,0.12228233594105173,73.40402590855956,125.80874056992336,10.0,0.1294111695474212,68.92311449743697,-0.02159268720153341,-13.911396754794874,8.0,0.1025665557643979,79.9273136433039,0.0115538306485474,-9.756880667651972,13.584335573017597,0.028175356373953783,0.03314651785008081,-0.125
