mode,weeks_total,weeks_with_stake,profit_cap2_total,stake_total,roi_total_cap2,mean_weekly_cap2_nonzero,pneg_weeks_nonzero
segment_classic,16,13,-970.9939999999999,37782.0,-0.025699910010057697,-74.69184615384614,0.6923076923076923
global_classic,16,13,-727.7360242931545,35754.51098924875,-0.02035368416902645,-55.97969417639652,0.6923076923076923
segment_bayes,16,12,-966.3550000000001,20679.0,-0.046731224914164135,-80.52958333333335,0.6666666666666666
global_bayes,16,12,-966.3550000000001,20679.0,-0.046731224914164135,-80.52958333333335,0.6666666666666666
global_bayes_biaspen,16,12,-1561.799,21599.0,-0.07230885689152275,-130.14991666666668,0.5833333333333334
global_bayes_biasdisable,16,12,549.0835,12572.0,0.04367511135857461,45.75695833333333,0.3333333333333333
global_bayes_roll12,16,12,-459.7880500736838,26028.983164787292,-0.01766446453796541,-38.31567083947365,0.6666666666666666
global_bayes_roll12_robust,16,12,337.13858606782514,20533.789140939713,0.016418722514085205,28.094882172318776,0.4166666666666667
global_bayes_roll12_robust_qpos,16,11,89.7391044645309,17251.268327355385,0.005201884450561316,8.158100405866435,0.36363636363636365
global_bayes_roll12_robust_qgate30,16,12,337.13858606782514,20533.789140939713,0.016418722514085205,28.094882172318776,0.4166666666666667
