week,train_weeks,alpha_global,n_bets_base,stake_usd_base,profit_cap2_usd_base,roi_on_stake_cap2_base,alpha_effective,n_bets_gate,stake_usd_gate,profit_cap2_usd_gate,roi_on_stake_cap2_gate,delta_pnl,delta_stake,delta_n_bets,roi_base,roi_gate,delta_pnl_over_pnl_base
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,,1.0,0,0.0,0.0,,0.0,0.0,0,,,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,,1.0,0,0.0,0.0,,0.0,0.0,0,,,
2025-10-13/2025-10-19,12,1.0,0,0.0,0.0,,1.0,0,0.0,0.0,,0.0,0.0,0,,,
2025-10-20/2025-10-26,12,1.0,19,874.0,60.05300000000001,0.0687105263157894,1.0,19,874.0,60.05300000000001,0.0687105263157894,0.0,0.0,0,0.0687105263157894,0.0687105263157894,0.0
2025-10-27/2025-11-02,12,1.0,12,276.0,-10.235,-0.0370833333333333,1.0,12,276.0,-10.235,-0.0370833333333333,0.0,0.0,0,-0.0370833333333333,-0.0370833333333333,-0.0
2025-11-03/2025-11-09,12,0.9040834307670592,59,3854.614863038063,-124.12716731682416,-0.0322022229787677,0.9040834307670592,50,3293.179052531719,127.0217852496802,0.0385711749113759,251.14895256650436,-561.4358105063438,-9,-0.0322022229787677,0.0385711749113759,-2.0233197775751037
2025-11-10/2025-11-16,12,0.6215238571166992,27,1672.5206995010376,121.8652902841568,0.0728632478632478,0.6215238571166992,27,1672.5206995010376,121.8652902841568,0.0728632478632478,0.0,0.0,0,0.0728632478632478,0.0728632478632478,0.0
2025-11-17/2025-11-23,12,0.6001525521278381,19,936.0315741300584,239.10021646595,0.2554403324355465,0.6001525521278381,19,936.0315741300584,239.10021646595,0.2554403324355465,0.0,0.0,0,0.2554403324355465,0.2554403324355465,0.0
2025-11-24/2025-11-30,12,0.6001525521278381,46,2371.382444024086,-141.23585567113764,-0.0595584470261445,0.6001525521278381,46,2371.382444024086,-141.23585567113764,-0.0595584470261445,0.0,0.0,0,-0.0595584470261445,-0.0595584470261445,-0.0
2025-12-01/2025-12-07,12,0.6830205917358398,30,2126.947360992432,-500.74179712772366,-0.2354274517137453,0.6830205917358398,25,1745.305256843567,-557.3448810043336,-0.319339484493565,-56.60308387660996,-381.6421041488652,-5,-0.2354274517137453,-0.319339484493565,0.11303846453658885
2025-12-08/2025-12-14,12,0.7293199300765991,33,1531.753804206848,273.7313837131262,0.1787045561508274,0.7293199300765991,25,877.6512604951859,380.4866131016016,0.4335282477540391,106.75522938847541,-654.1025437116621,-8,0.1787045561508274,0.4335282477540391,0.38999996251930025
2025-12-15/2025-12-21,12,1.0,31,2060.0,-289.7685,-0.1406643203883495,1.0,19,1228.0,-193.3035,-0.1574132736156352,96.465,-832.0,-12,-0.1406643203883495,-0.1574132736156352,-0.33290368000662596
2025-12-22/2025-12-28,12,1.0,15,773.0,188.683,0.2440918499353169,1.0,12,524.0,-27.186000000000007,-0.0518816793893129,-215.869,-249.0,-3,0.2440918499353169,-0.0518816793893129,-1.1440829327496382
2025-12-29/2026-01-04,12,0.8243277072906494,12,701.5028789043427,282.93317464566235,0.4033243243243243,0.8243277072906494,12,701.5028789043427,282.93317464566235,0.4033243243243243,0.0,0.0,0,0.4033243243243243,0.4033243243243243,0.0
2026-01-05/2026-01-11,12,1.0,26,1472.0,-98.44000000000004,-0.066875,1.0,21,1265.0,62.55999999999997,0.0494545454545454,161.0,-207.0,-5,-0.066875,0.0494545454545454,-1.6355140186915882
2026-01-12/2026-01-18,12,1.0,83,3985.0,31.04499999999993,0.0077904642409033,1.0,81,3893.0,-42.946000000000026,-0.0110315951708194,-73.99099999999996,-92.0,-2,0.0077904642409033,-0.0110315951708194,-2.3833467547109075
2026-01-19/2026-01-25,12,1.0,6,552.0,335.432,0.6076666666666666,1.0,6,552.0,335.432,0.6076666666666666,0.0,0.0,0,0.6076666666666666,0.6076666666666666,0.0
