ID Aposta,RebelBetting.EventName,RebelBetting.ID
0,Hungary Division 1 (NB1 Soproni Liga),27832056
3,CAF African Nations Championship,27083763
4,Romania Division 2,27084393
5,Uzbekistan Super League,27084430
6,China Super League,27093151
7,ITF Men Muttenz,27093259
8,UEFA Champions League,27138405
9,UEFA Champions League,27138405
10,CONCACAF Copa Centroamericana,27093391
11,Japan J-League Division 1,27093650
12,CONMEBOL Copa Libertadores,27093687
13,ITF Women Nakhon Pathom,27093777
14,England Northern Premier League,27093810
15,Lithuania A Lyga,27096017
16,Grand Slam Men - US Open,27096030
17,UEFA Europa Conference League,27096037
18,Lithuania A Lyga,27499649
19,Iceland Division 3 (3. Deild Karla),27096592
20,UEFA Europa League,27096797
21,CONCACAF Copa Centroamericana,27097407
22,UEFA Europa Conference League,27097601
23,Egypt Premier League,27098119
24,UEFA Europa Conference League,27098249
25,Venezuela Cup,27098382
26,UEFA Europa Conference League,27098980
27,CONMEBOL Copa Sudamericana,27099612
28,Egypt Premier League,27099732
29,Norway Division 1 OBOS-ligaen,27102695
30,MLS Next Pro,27102700
31,Norway Division 1 OBOS-ligaen,27102704
32,Spain LaLiga2,27103034
33,UEFA Europa League,27145617
34,Wales Premier League,27103103
35,Denmark Division 2,27722823
36,France Ligue 2,27103456
37,Ireland Premier League,27103666
38,England League 1,27107335
39,Sweden Superettan,27107381
40,Mexico Liga Expansion MX,27107442
41,Argentina Liga Profesional,27107454
42,Spain LaLiga2,27107569
43,Colombia Cup,27107727
44,USA Major League Soccer,27107924
45,Brazil Campeonato Brasiliero Série B,27108212
46,Poland 3. Liga,27108217
47,Poland 2. Liga,27108227
48,Austria Landesliga Steiermark,27108600
49,Paraguay Segunda Division (División Intermedia),27108651
50,Finland Ykkosliiga,27108777
51,Romania Division 1,27108886
52,Iceland Division 1 (1. Deild Karla),27108895
53,Australia NPL Victoria,27108952
54,Switzerland Challenge League,27108964
55,Ireland Division 1,27108971
56,England Southern League Premier Division,27109057
57,England Southern League Premier Division,27109062
58,Germany Regionalliga Bayern (Bavaria),27109092
59,Brazil Campeonato Brasileiro Série C,27118061
60,Austria Bundesliga,27118066
