week,n_train_weeks,alpha,pnl_theoretical,stake_theoretical,roi_on_stake_theoretical,pred_mean,pred_p05,pred_p10,pred_p50,pred_p90,pred_p95,pred_prob_pos,pit,crps,error,abs_error
2025-09-29/2025-10-05,10,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-10-06/2025-10-12,11,1.0,-314.0,3308.0,-0.09492140266021766,192.32808970000002,-184.00000000000003,-106.0,23.0,617.0000000000001,1091.5,0.5493,0.0,333.57612307499994,-506.3280897,506.3280897
2025-10-13/2025-10-19,12,0.7349397540092468,678.3915601372719,3248.734922647476,0.20881714768665505,147.43724915527628,-160.58433625102043,-89.09638565778732,0.0,493.75300875306135,895.6927665174007,0.4178,0.9189,424.3716072349006,530.9543109819956,530.9543109819956
2025-10-20/2025-10-26,13,0.6751112341880798,-276.07872611284256,5668.338343918324,-0.048705407010337175,221.66625912825708,-116.45668789744377,-31.055116772651672,46.58267515897751,890.8346072137356,1275.1889171898365,0.5415,0.0,325.0316598456622,-497.74498524109964,497.74498524109964
2025-10-27/2025-11-02,14,1.0,437.0,4282.0,0.10205511443250817,133.1896,-117.5,-115.0,0.0,554.0,573.0,0.497,0.8558,214.69815,303.81039999999996,303.81039999999996
2025-11-03/2025-11-09,15,1.0,-107.5,6443.0,-0.01668477417352165,222.1323,-291.5,-69.0,0.0,1081.0,1132.5,0.4611,0.067,150.6188,-329.6323,329.6323
2025-11-10/2025-11-16,16,0.860617458820343,-97.7782790362835,4678.399721443653,-0.020899941188888244,328.3172008410392,-340.83911630511284,-185.32462018728256,330.61882174015045,847.1216745376588,1059.739069879055,0.6252,0.1213,246.70218837929323,-426.0954798773227,426.0954798773227
2025-11-17/2025-11-23,17,1.0,334.0,4252.0,0.07855126999059266,301.22912384,-229.50000000000003,-11.306799999999999,57.5,1130.0000000000002,1239.5,0.5719,0.5467,128.92639535999996,32.77087616,32.77087616
2025-11-24/2025-11-30,18,0.8122761845588684,977.429385304451,8548.693864881992,0.11433669292097684,430.81437340742053,-211.2235342860222,-149.4588179588318,318.9176359176636,1202.652889996767,1876.4352304041388,0.6667,0.8324,399.91578201373306,546.6150118970304,546.6150118970304
2025-12-01/2025-12-07,19,1.0,-380.49999999999983,7759.0,-0.049039824719680346,524.848186875,-218.00000000000003,-103.5,295.0,1730.0,1762.9749999995202,0.6224,0.0,527.3916995,-905.3481868749998,905.3481868749998
2025-12-08/2025-12-14,20,1.0,1377.0,3888.0,0.3541666666666667,484.358212175,-69.0,0.0,295.0,1503.0000000000002,1635.0000000000002,0.8033,0.849,696.8281694499999,892.6417878249999,892.6417878249999
2025-12-15/2025-12-21,21,0.9394877552986144,127.6493102312088,3149.986204624176,0.040523768022799514,567.3408825364758,-237.69040209054947,-97.23698267340657,342.27807453274715,1581.028705447912,2321.2711768448353,0.7094,0.3889,204.66276613775545,-439.69157230526696,439.69157230526696
2025-12-22/2025-12-28,22,1.0,397.0,1973.0,0.20121642169285353,650.8606647,-69.0,0.0,318.37975000000006,1748.5,1775.0,0.8162,0.5001,163.30769542500002,-253.86066470000003,253.86066470000003
2025-12-29/2026-01-04,23,1.0,178.0,1267.0,0.1404893449092344,715.653498875,-17.49999999999997,0.0,413.49999999999994,2011.5,2136.0,0.8261,0.3003,216.5488684999999,-537.653498875,537.653498875
2026-01-05/2026-01-11,24,1.0,147.5,4707.0,0.0313363076269386,688.634879875,-17.49999999999997,0.0,413.49999999999994,1950.5,2133.0,0.8354,0.2947,192.39364762500009,-541.134879875,541.134879875
2026-01-12/2026-01-18,25,1.0,-391.5,3397.0,-0.11524874889608477,695.8450077,0.0,0.0,459.5000000000001,1974.0,2567.5,0.841,0.0,689.5595879499999,-1087.3450077,1087.3450077
