week,rule_key,alpha,cutoff,stake_frac,n_train_weeks,pnl_theoretical,stake_theoretical,roi_theoretical,pred_pnl_mean,pred_pnl_p05,pred_pnl_p10,pred_pnl_p50,pred_pnl_p90,pred_pnl_p95,pred_stake_mean,pred_roi_mean,error_pnl,error_stake,error_roi,pit,crps
2025-10-20/2025-10-26,FT|quinta-feira,1.0,0.11,0.01,13,-232.69100000000003,1311.0,-0.17749122807017545,17.181104949999998,-63.94,-25.438000000000002,0.0,67.38999999999999,152.5015,188.9571,-0.007509466967587113,-249.87210495000002,1122.0429,-0.16998176110258834,0.0,223.6510539500001
2025-10-20/2025-10-26,FH|quinta-feira,1.0,0.17,0.02,13,60.05300000000001,874.0,0.06871052631578949,28.662604599999998,-46.069,-46.0,0.0,112.47,129.674,296.0468,-0.07473107259407259,31.390395400000013,577.9531999999999,0.14344159890986208,0.62,29.85005319999999
2025-11-03/2025-11-09,FT|quarta-feira,1.0,0.13,0.01,15,-46.874000000000024,667.0,-0.07027586206896555,16.11410475,-103.75300000000001,-25.391999999999996,0.0,104.5005,178.3995,195.2516,0.04199353637254902,-62.98810475000002,471.7484,-0.11226939844151457,0.0716,41.08237805000003
2025-11-10/2025-11-16,FT|quarta-feira,1.0,0.23,0.01,16,-37.74299999999999,667.0,-0.05658620689655171,18.7946432,-105.82300000000001,-7.244999999999997,0.0,120.79599999999999,212.428,181.0031,0.068869778921278,-56.53764319999999,485.9969,-0.1254559858178297,0.0641,37.19504569999998
2025-11-10/2025-11-16,FT|sábado,1.0,0.37,0.01,16,-172.99450000000002,644.0,-0.268625,11.364214899999999,-102.511,-46.782,0.0,92.276,95.335,298.0064,0.04194102188807047,-184.35871490000002,345.9936,-0.3105660218880705,0.0,157.93987990000002
2025-11-10/2025-11-16,FH|quarta-feira,1.0,0.19,0.01,16,-80.5,115.0,-0.7,7.7609843,-75.854,-11.316000000000003,0.0,47.265,79.879,103.0975,0.06870630672268908,-88.2609843,11.902500000000003,-0.768706306722689,0.0,72.6234338
2025-11-10/2025-11-16,FH|quinta-feira,1.0,0.45,0.07,16,70.67899999999996,727.0000000000001,0.09722008253094903,65.6932451,-282.91700000000003,-161.00000000000003,0.0,405.259,533.8040000000001,512.4163,-0.002615405562642485,4.985754899999961,214.58370000000014,0.09983548809359152,0.6855,56.61652479999999
2025-11-17/2025-11-23,FT|quarta-feira,1.0,0.43,0.07,17,255.84000000000003,685.0,0.37348905109489056,108.57367410000002,-161.00000000000003,-146.4935,0.0,760.32,896.3760000000002,460.1785000000002,0.04396362605402883,147.26632590000003,224.8214999999998,0.32952542504086174,0.8279,174.1456517000001
2025-11-17/2025-11-23,FH|quinta-feira,1.0,0.45,0.01,17,42.596000000000004,138.0,0.3086666666666667,10.08107365,-57.0285,-23.023000000000003,0.0,64.837,82.22500000000001,87.8347,0.0137137193939394,32.51492635,50.1653,0.2949529472727273,0.8215,23.743039150000005
2025-11-24/2025-11-30,FT|segunda-feira,1.0,0.19,0.01,18,16.882000000000005,460.0,0.03670000000000001,14.229772249999998,-99.9695,-1.6445000000000043,0.0,126.914,143.35899999999998,136.3509,0.1181004518081344,2.652227750000007,323.6491,-0.08140045180813439,0.8302,12.837056699999998
