week,n_train_weeks,pnl_max_theoretical,stake_max_theoretical,roi_on_stake_max_theoretical,pred_mean,pred_p05,pred_p10,pred_p50,pred_p90,pred_p95,pred_prob_pos,pred_stake_mean,pred_roi_mean,pit,crps,error
2025-09-29/2025-10-05,10,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-10-06/2025-10-12,11,611.0,15251.0,0.04006294669202019,505.6730875,-2470.0,-475.5,0.0,2024.5,3681.0,0.4577,3779.8757,0.03856477256501572,0.5423,337.973434375,105.32691249999999
2025-10-13/2025-10-19,12,3872.0,12068.0,0.3208485250248591,918.919571875,-1535.5,-1483.5,0.0,3345.0,9046.0,0.4207,4099.3568,0.06835313232236935,0.9189,2665.987228125,2953.0804281250003
2025-10-20/2025-10-26,13,-2596.5,25031.0,-0.10373137309735928,1654.758434375,-1483.5,0.0,452.0,5109.0,10947.0,0.6937,6247.5732,0.16948480375132943,0.0,2892.9477625000004,-4251.258434375
2025-10-27/2025-11-02,14,-17213.0,62900.0,-0.27365659777424484,1560.2509,-1582.5,-797.0,34.0,5266.5,9595.0,0.5023,12409.3461,0.08408607980401422,0.0,17212.1064,-18773.2509
2025-11-03/2025-11-09,15,23595.0,61213.0,0.38545733749366967,708.4126,-4604.5,-2432.5,0.0,6401.0,7495.5,0.475,18301.8634,0.03853740440955678,1.0,21210.0764,22886.5874
2025-11-10/2025-11-16,16,-2161.5,35671.0,-0.060595441675310474,1685.258784375,-10924.5,-2295.5,1157.0,7179.5,24670.0,0.6186,17540.4539,0.11817442699851187,0.1327,1849.2943750000004,-3846.758784375
2025-11-17/2025-11-23,17,14459.5,61937.0,0.23345496230040202,1573.5355366400001,-10837.5,-4028.0,443.0,6577.0,18460.0,0.5165,19791.6593,0.0878950183004797,0.9409,10534.94501656,12885.96446336
2025-11-24/2025-11-30,18,56177.0,99644.0,0.5637770462847738,2974.24732901,-9407.5,-3416.0,901.28125,21720.0,25233.5,0.5566,25479.0843,0.005524929663910563,1.0,49346.111254715004,53202.75267099
2025-12-01/2025-12-07,19,-7100.5,41721.0,-0.17019007214592172,4878.966315625,-11285.5,-2842.0,0.0,21462.5,24506.599999976992,0.4652,21719.5809,0.0601578613802663,0.0537,6976.468690625,-11979.466315624999
2025-12-08/2025-12-14,20,7045.0,22557.0,0.31231990069601456,3849.108653125,-4785.5,-4785.5,453.0,22303.5,24986.0,0.5999,22263.1157,0.0678759366285043,0.8018,4356.001087499999,3195.891346875
2025-12-15/2025-12-21,21,2316.0,11678.0,0.19832163041616716,4042.2400375,-4469.5,-2673.0,816.5,21721.5,31137.0,0.6164,22754.9706,0.07215155570472782,0.7139,1635.8507437500002,-1726.2400375000002
2025-12-22/2025-12-28,22,7.0,10824.0,0.0006467110125646711,3381.4762625,-6529.5,-1854.5,1319.78125,11255.5,17818.0,0.7725,32641.2019,0.09724340297980316,0.2275,1474.6627062500002,-3374.4762625
2025-12-29/2026-01-04,23,4362.0,8114.0,0.5375893517377373,3262.823465625,-4488.0,-3426.0,1062.5,11255.5,16781.0,0.7845,32325.9825,0.08022304886439936,0.6484,1927.0586499999995,1099.1765343749998
2026-01-05/2026-01-11,24,-40.5,28919.0,-0.0014004633631868322,3418.674090625,-4488.0,-3929.0,1107.78125,11255.5,16781.0,0.7959,30805.1352,0.10318964527575902,0.1638,1463.2638093749997,-3459.174090625
2026-01-12/2026-01-18,25,-22663.0,33202.0,-0.6825793626889947,3337.9922375,-5466.0,-2913.5,1034.28125,11255.5,16980.5,0.8054,28794.2494,0.13869817095680986,0.0,22665.8683,-26000.9922375
