week,n_train_weeks,alpha,pnl_theoretical,stake_theoretical,roi_on_stake_theoretical,pred_mean,pred_p05,pred_p10,pred_p50,pred_p90,pred_p95,pred_prob_pos,pred_stake_mean,pred_stake_p10,pred_stake_p50,pred_stake_p90,pred_roi_mean,pred_roi_p10,pred_roi_p50,pred_roi_p90,pit,crps,error,abs_error,error_stake_component,error_roi_component,error_interaction,pred_cov_term,error_vs_prodmeans,error_decomp_total,pred_mean_raw,bias_online,pred_mean_bias_adj_online,diff_real_minus_model_raw,diff_real_minus_model_bias_adj,abs_diff_raw,abs_diff_bias_adj,pred_p05_bias_adj_online,pred_p10_bias_adj_online,pred_p50_bias_adj_online,pred_p90_bias_adj_online,pred_p95_bias_adj_online
2025-09-29/2025-10-05,10,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-06/2025-10-12,11,1.0,-162.0,1937.0,-0.08363448631905,162.72158970000004,-161.00000000000003,-106.0,0.0,617.0000000000001,1001.5,0.3646,607.5831,0.0,106.0,1603.0,-0.0516066516418951,-1.0,0.0,0.3849033063006863,0.0,166.24662307499997,-324.72158970000004,324.72158970000004,-68.60675484514815,-19.459571079433296,-42.57834469021583,194.0769190852028,-130.64467061479726,-324.72158970000004,162.72158970000004,0.0,162.72158970000004,-324.72158970000004,-324.72158970000004,324.72158970000004,324.72158970000004,-161.00000000000003,-106.0,0.0,617.0000000000001,1001.5
2025-10-13/2025-10-19,12,0.8382449746131897,964.718796133995,6017.230797529221,0.1603260417616231,187.83122523565652,-255.2370753288269,-183.156526952982,82.22036558389664,548.5121399462224,1218.4224519729617,0.5028,1103.3740544401228,0.0,616.9483013153076,3017.513570845127,0.0174104071035971,-0.3958333333333333,0.0785147924149352,0.4321278338358064,0.9189,624.388785915373,776.8875708983385,776.8875708983385,85.55224634593739,157.68940325550946,702.266955057199,168.6210337603074,945.508604658646,776.8875708983385,187.83122523565652,-162.36079485000002,25.4704303856565,776.8875708983385,939.2483657483385,776.8875708983385,939.2483657483385,-417.59787017882695,-345.517321802982,-80.14042926610338,386.15134509622237,1056.0616571229616
2025-10-20/2025-10-26,13,0.5707145929336548,-250.6551483869553,3135.965246081352,-0.0799291856630648,135.59566418612883,-98.44826728105544,0.0,0.0,490.24133640527725,809.6550986170769,0.4643,615.7732745095492,0.0,275.65514838695526,1774.068811058998,0.0837162142385588,0.0,0.0,0.3266691692185615,0.0,275.86883464012465,-386.2508125730841,386.2508125730841,210.9809310144009,-100.76846375584746,-412.417823016729,84.04545681490853,-302.2053557581756,-386.2508125730841,135.59566418612883,150.72199373277948,286.3176579189083,-386.2508125730841,-536.9728063058636,386.2508125730841,536.9728063058636,52.273726451724045,150.72199373277948,150.72199373277948,640.9633301380568,960.3770923498564
2025-10-27/2025-11-02,14,1.0,621.0,2369.0,0.2621359223300971,79.92725,-138.0,-115.0,0.0,391.0,476.0,0.3491,845.3481,0.0,460.0,2253.0,0.0388018812304484,-0.1818181818181818,0.0,0.1850291639662994,1.0,438.57375,541.07275,541.07275,59.12056006034708,188.79500730890996,340.28333605615774,47.12615342541476,588.1989034254148,541.07275,79.92725,16.478792156313588,96.40604215631359,541.07275,524.5939578436864,541.07275,524.5939578436864,-121.52120784368641,-98.52120784368641,16.478792156313588,407.4787921563136,492.4787921563136
2025-11-03/2025-11-09,15,0.886709988117218,196.53479185700417,4730.752539873123,0.0415440863161857,171.72786097030342,-264.1404621303081,-152.9574729502201,0.0,932.5901998877524,1261.6597836017609,0.3933,1599.493599178374,0.0,897.3505079746246,4370.922648072243,0.0272176431860003,-0.1923076923076923,0.0,0.237986176534595,0.7421,121.41147074124515,24.80693088670074,24.80693088670074,85.22548857080301,22.91505408572465,44.85980313974813,128.19341490957504,153.00034579627578,24.80693088670074,171.72786097030342,121.3975837250509,293.1254446953543,24.80693088670074,-96.59065283835014,24.80693088670074,96.59065283835014,-142.74287840525722,-31.559889225169215,121.3975837250509,1053.9877836128032,1383.0573673268118
2025-11-10/2025-11-16,16,0.7692307233810425,-196.2307597398758,4514.92281961441,-0.0434627052509913,262.1264369017201,-316.9230595231056,-185.7692196965218,156.19228607416156,750.6922792196274,996.3076385259628,0.6252,2109.2262621023538,0.0,1091.3845584392548,5757.153524518013,0.0900661729573712,-0.2026063445019287,0.0759797080190441,0.425,0.0573,270.5871212160042,-458.3571966415959,458.3571966415959,216.67188223183345,-281.64261666614493,-321.22996263430446,72.15649957297995,-386.200697068616,-458.3571966415959,262.1264369017201,105.29914158532586,367.425578487046,-458.3571966415959,-563.6563382269218,458.3571966415959,563.6563382269218,-211.62391793777977,-80.47007811119593,261.4914276594874,855.9914208049532,1101.6067801112886
2025-11-17/2025-11-23,17,1.0,598.5,2596.0,0.2305469953775038,232.49505,-229.50000000000003,-115.0,0.0,900.0000000000001,1228.0,0.4533,1433.1683,0.0,644.0,4287.0,0.0507663349641201,-0.268107476635514,0.0,0.3234984193888303,0.7749,294.89555,366.00495,366.00495,59.03270358909731,257.65594345752635,209.0546509756176,159.73834802224133,525.7432980222413,366.0049499999999,232.49505,24.77680755290846,257.27185755290844,366.00495,341.22814244709156,366.00495,341.22814244709156,-204.72319244709158,-90.22319244709155,24.77680755290846,924.7768075529086,1252.7768075529084
2025-11-24/2025-11-30,18,0.9380369186401368,951.3592562675476,7222.808057785034,0.1317159820192278,397.51528054220455,-225.32334041595468,-161.8113684654236,365.1975860595704,1235.1047301292422,1437.2154951095583,0.6667,2663.6125358160025,0.0,1069.2933616638186,6762.233208656312,0.0337596943998085,-0.375,0.147106047732715,0.3415317060337152,0.8324,383.4919941362047,553.8439757253431,553.8439757253431,153.91704753065002,260.9175956650832,446.6018678631671,307.5925353335573,861.4365110589004,553.843975725343,397.51528054220455,67.4303253587949,464.94560590099945,553.8439757253431,486.41365036654815,553.8439757253431,486.41365036654815,-157.89301505715977,-94.38104310662871,432.62791141836533,1302.535055488037,1504.6458204683531
2025-12-01/2025-12-07,19,0.8893280625343323,-627.9090905189514,6248.181814312935,-0.1004946893639646,437.352020403612,-192.54545438289645,-143.1818180680275,347.7272724509239,1630.7272715568542,1633.5159079253267,0.677,2989.426070569426,0.0,1113.6363627910614,7347.363631308079,0.0331543618459674,-0.3421052631578947,0.1453816403941322,0.2942708332677042,0.0,767.5446162581259,-1065.2611109225634,1065.2611109225634,108.0419670956972,-399.53395799383946,-435.5296132762367,338.2395067481845,-727.0216041743789,-1065.2611109225636,437.352020403612,136.6608223244628,574.0128427280748,-1065.2611109225634,-1201.9219332470261,1065.2611109225634,1201.9219332470261,-55.88463205843365,-6.520995743564697,484.3880947753867,1767.388093881317,1770.1767302497894
