week,n_train_weeks,pnl_max_theoretical,stake_max_theoretical,roi_on_stake_max_theoretical,pred_mean,pred_p05,pred_p10,pred_p50,pred_p90,pred_p95,pred_prob_pos,pred_stake_mean,pred_roi_mean,pit,crps,error
2025-09-29/2025-10-05,10,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-10-06/2025-10-12,11,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-10-13/2025-10-19,12,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-10-20/2025-10-26,13,-2707.9940000000006,18068.0,-0.14987790568961704,426.5814579,-1625.1,-1609.3,0.0,2300.498,3522.9280000000003,0.3868,4449.4256,-0.09924467968571261,0.0,2421.4317854000005,-3134.5754579000004
2025-10-27/2025-11-02,14,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2025-11-03/2025-11-09,15,2745.1555,15464.0,0.17751910889808586,153.75944679999998,-2737.416,-1304.6360000000002,0.0,2034.7510000000002,4279.682,0.2649,2600.0568,9.50859904340323e-05,0.933,2128.8783152000005,2591.3960532
2025-11-10/2025-11-16,16,-27.853999999999758,10750.0,-0.002591069767441838,314.3071447,-2737.416,-1304.6360000000002,0.0,2745.1555,4279.682,0.3166,3370.2018,0.013211922984863457,0.1844,163.66679239999962,-342.16114469999974
2025-11-17/2025-11-23,17,1520.993,4046.0,0.37592511122095895,267.09978405,-2737.416,-1304.6360000000002,0.0,2745.1555,4279.682,0.288,3742.8687,0.008638474775886832,0.8332,1049.3585996499999,1253.89321595
2025-11-24/2025-11-30,18,-3704.9489999999996,12253.0,-0.3023707663429364,354.7064084999999,-2737.416,-1304.6360000000002,0.0,2745.1555,4279.682,0.3348,3843.6387,0.029119670984613277,0.0,3346.7020464999996,-4059.6554084999993
2025-12-01/2025-12-07,19,-2325.259,6987.0,-0.3327979104050379,4.855666899999953,-2189.111449999941,-2124.54,0.0,2059.7160000000003,2880.5109999999995,0.3647,3004.1533,0.008281765907853605,0.05,1819.0293361499998,-2330.1146669
2025-12-08/2025-12-14,20,3851.5409999999997,11440.0,0.3366731643356643,579.8776553499998,-3230.9695,-2141.6710000000003,0.0,2059.7160000000003,4590.902,0.4483,8423.1202,0.04803755803819776,0.9005,2845.8522039,3271.66334465
2025-12-15/2025-12-21,21,-197.9625000000001,10008.0,-0.019780425659472432,1158.2727797999999,-2783.5600000000004,-2324.127,0.0,4124.565,18256.685999999998,0.3357,12700.7628,-0.007861662467789647,0.2855,584.0294552000003,-1356.2352798
2025-12-22/2025-12-28,22,-69.37800000000001,4454.0,-0.01557656039515043,1081.6475078499998,-2783.5600000000004,-2324.127,0.0,4124.565,4139.0655,0.3192,12546.3902,-0.00966974537550398,0.3635,414.9519821000001,-1151.0255078499997
2025-12-29/2026-01-04,23,6027.189,7680.0,0.7847902343750001,1048.9744080499997,-2783.5600000000004,-2324.127,0.0,4124.565,4139.0655,0.3103,12238.1574,-0.006536668716284683,0.9549,4274.76337135,4978.214591950001
2026-01-05/2026-01-11,24,916.7210000000002,10975.0,0.08352810933940777,1281.5537613999998,-2793.4629999999997,-2038.292,0.0,4010.204,5185.689,0.4137,8834.0113,0.09686636781552524,0.7099,681.7876742000003,-364.8327613999995
2026-01-12/2026-01-18,25,-18958.081,42419.0,-0.4469242792145029,1422.2015060999997,-2400.7169999999996,-2038.292,0.0,6027.189,6480.171,0.444,11209.8014,0.05673293013218604,0.0,18323.51174435,-20380.282506099997
