test_week,bet_type,dow_pt,score_col,cutoff,stake_frac,alpha_global,status,rule_key,as_of_date
2026-01-19/2026-01-25,FT,segunda-feira,proba_raw_segunda,0.21,0.03,1.0,ok,FT|segunda-feira,2026-01-17
2026-01-19/2026-01-25,FT,terça-feira,proba_raw_terca,0.15,0.02,1.0,ok,FT|terça-feira,2026-01-17
2026-01-19/2026-01-25,FT,quarta-feira,proba_raw_quarta,0.33,0.03,1.0,ok,FT|quarta-feira,2026-01-17
2026-01-19/2026-01-25,FT,quinta-feira,proba_cal_segqui,1.0,0.0,1.0,no_candidate,FT|quinta-feira,2026-01-17
2026-01-19/2026-01-25,FT,sexta-feira,proba_cal_sexdom,0.15,0.01,1.0,ok,FT|sexta-feira,2026-01-17
2026-01-19/2026-01-25,FT,sábado,proba_cal_sexdom,1.0,0.0,1.0,no_candidate,FT|sábado,2026-01-17
2026-01-19/2026-01-25,FT,domingo,proba_cal_sexdom,0.23,0.01,1.0,ok,FT|domingo,2026-01-17
2026-01-19/2026-01-25,FH,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,no_candidate,FH|segunda-feira,2026-01-17
2026-01-19/2026-01-25,FH,terça-feira,proba_raw_terca,0.61,0.06,1.0,ok,FH|terça-feira,2026-01-17
2026-01-19/2026-01-25,FH,quarta-feira,proba_raw_quarta,0.05,0.02,1.0,ok,FH|quarta-feira,2026-01-17
2026-01-19/2026-01-25,FH,quinta-feira,proba_cal_segqui,1.0,0.0,1.0,no_candidate,FH|quinta-feira,2026-01-17
2026-01-19/2026-01-25,FH,sexta-feira,proba_cal_sexdom,1.0,0.0,1.0,no_candidate,FH|sexta-feira,2026-01-17
2026-01-19/2026-01-25,FH,sábado,proba_cal_sexdom,0.05,0.01,1.0,ok,FH|sábado,2026-01-17
2026-01-19/2026-01-25,FH,domingo,proba_cal_sexdom,1.0,0.0,1.0,no_candidate,FH|domingo,2026-01-17
