rule_key,in_sample,refined_pass,status,cutoff,stake_frac,mean_week_pnl,q05_week_pnl,p_post_mean_pos,q_obj,p80_daily_exp,p95_daily_exp,daily_var10,p_daily_dd,sharpe_week,pneg_week,n_weeks,score_bins_n,score_bins_pos,bet_type,dow_pt
FH|domingo,True,True,ok,0.41,0.07,87.04166666666667,0.0,1.0,40.86094211750046,633.0000000000001,755.2500000000001,80.50000000000001,0.0,0.7538683225641465,0.0,12.0,5.0,4.0,FH,domingo
FH|quarta-feira,False,False,no_candidate,,,,,,,,,,,,,,,,FH,quarta-feira
FH|quinta-feira,False,True,ok,0.73,0.06,88.25,-13.499999999999998,0.999875,31.437171979049268,273.6,448.1999999999998,-11.999999999999996,0.0,0.5621213472747949,0.08333333333333333,12.0,5.0,5.0,FH,quinta-feira
FH|segunda-feira,False,False,no_candidate,,,,,,,,,,,,,,,,FH,segunda-feira
FH|sexta-feira,True,False,no_candidate,,,,,,,,,,,,,,,,FH,sexta-feira
FH|sábado,True,True,ok,0.23,0.01,118.0,-39.099999999999994,1.0,56.948229710485485,1453.6000000000001,1600.7999999999997,-11.5,0.0,0.7470836243179828,0.3076923076923077,13.0,5.0,5.0,FH,sábado
FH|terça-feira,True,False,no_candidate,,,,,,,,,,,,,,,,FH,terça-feira
FT|domingo,True,True,ok,0.49,0.07,13.41666666666667,0.0,1.0,0.7271316775824487,161.00000000000003,161.00000000000003,161.00000000000003,0.0,0.28867513459481287,0.0,12.0,1.0,1.0,FT,domingo
FT|quarta-feira,True,True,ok,0.33,0.01,53.38461538461539,-25.999999999999993,0.998875,24.44216241169055,437.0,566.5999999999999,0.0,0.0,0.7499331226591702,0.07692307692307693,13.0,5.0,5.0,FT,quarta-feira
FT|quinta-feira,False,False,no_candidate,,,,,,,,,,,,,,,,FT,quinta-feira
FT|segunda-feira,True,True,ok,0.19,0.02,144.1818181818182,-23.0,1.0,80.8801175203181,1196.0,1334.5,0.0,0.0,0.9834865112810307,0.09090909090909091,11.0,3.0,3.0,FT,segunda-feira
FT|sexta-feira,True,False,no_candidate,,,,,,,,,,,,,,,,FT,sexta-feira
FT|sábado,True,True,ok,0.91,0.07,37.15384615384616,0.0,1.0,7.1275829556238905,289.80000000000007,313.95000000000005,177.10000000000002,0.0,0.38516444325982163,0.0,13.0,3.0,3.0,FT,sábado
FT|terça-feira,True,True,ok,0.25,0.03,212.84615384615384,-37.8,1.0,115.57633549420419,1532.0000000000002,2168.9999999999995,-16.099999999999998,0.0,0.7645299109506578,0.23076923076923078,13.0,5.0,5.0,FT,terça-feira
