rule_key,in_sample,refined_pass,status,cutoff,stake_frac,mean_week_pnl,p_post_mean_pos,q_obj,p80_daily_exp,p95_daily_exp,daily_var10,p_daily_dd,sharpe_week,pneg_week,n_weeks,score_bins_n,score_bins_pos,bet_type,dow_pt
FH|domingo,True,True,ok,0.41,0.07,87.04166666666667,1.0,40.86094211750046,633.0000000000001,755.2500000000001,80.50000000000001,0.0,0.7538683225641465,0.0,12.0,5.0,4.0,FH,domingo
FH|quarta-feira,False,False,no_candidate,,,,,,,,,,,,,,,FH,quarta-feira
FH|quinta-feira,False,True,ok,0.69,0.07,125.70833333333333,0.990875,34.62604754017833,609.0000000000001,687.0,-153.0,0.0,0.5413809320308028,0.16666666666666666,12.0,5.0,4.0,FH,quinta-feira
FH|segunda-feira,False,False,no_candidate,,,,,,,,,,,,,,,FH,segunda-feira
FH|sexta-feira,True,True,ok,0.07,0.01,60.15384615384615,0.936625,-4.83137900364833,1228.2000000000005,1724.9999999999998,-154.1,0.0,0.4124230339333306,0.23076923076923078,13.0,5.0,4.0,FH,sexta-feira
FH|sábado,True,True,ok,0.23,0.01,118.0,1.0,56.948229710485485,1453.6000000000001,1600.7999999999997,-11.5,0.0,0.7470836243179828,0.3076923076923077,13.0,5.0,5.0,FH,sábado
FH|terça-feira,True,True,ok,0.67,0.06,159.0,0.99525,65.50173133265346,439.0,602.3499999999999,-9.599999999999994,0.0,0.7280914761395523,0.08333333333333333,12.0,5.0,5.0,FH,terça-feira
FT|domingo,True,True,ok,0.49,0.07,13.41666666666667,1.0,0.7271316775824487,161.00000000000003,161.00000000000003,161.00000000000003,0.0,0.28867513459481287,0.0,12.0,1.0,1.0,FT,domingo
FT|quarta-feira,True,True,ok,0.39,0.05,205.53846153846155,0.998,83.29124064406096,1513.2000000000003,2192.0,-106.5,0.0,0.6913576097050183,0.3076923076923077,13.0,5.0,5.0,FT,quarta-feira
FT|quinta-feira,False,False,no_candidate,,,,,,,,,,,,,,,FT,quinta-feira
FT|segunda-feira,True,True,ok,0.19,0.02,144.1818181818182,1.0,80.8801175203181,1196.0,1334.5,0.0,0.0,0.9834865112810307,0.09090909090909091,11.0,3.0,3.0,FT,segunda-feira
FT|sexta-feira,True,True,ok,0.31,0.02,84.6923076923077,0.966625,9.539370582044103,1518.0000000000002,1941.1999999999998,-133.79999999999998,0.0,0.4784222277445512,0.23076923076923078,13.0,5.0,4.0,FT,sexta-feira
FT|sábado,True,True,ok,0.57,0.07,163.34615384615387,0.992125,48.00888285773327,1070.0000000000005,1560.35,-120.20000000000003,0.0,0.5908201182126737,0.23076923076923078,13.0,5.0,4.0,FT,sábado
FT|terça-feira,True,True,ok,0.25,0.03,212.84615384615384,1.0,115.57633549420419,1532.0000000000002,2168.9999999999995,-16.099999999999998,0.0,0.7645299109506578,0.23076923076923078,13.0,5.0,5.0,FT,terça-feira
