rule_key,n_weeks,sum_w,mean_roi_obs,post_mean,ci05,ci50,ci95,p_pos
FT|terça-feira,8,192.0,0.18507588927636165,0.15915816857910534,0.057046445009088835,0.15851770139915655,0.2592094975122949,0.995
FT|segunda-feira,9,75.0,0.31936304406325555,0.21492211809462672,0.06913115090041881,0.21304341879178548,0.36448090168787683,0.99325
FH|sábado,13,228.0,0.0863059446302593,0.08128041167279289,-0.011166583700738142,0.08034499491256245,0.17363723765978967,0.92475
FH|terça-feira,9,29.0,0.2035182989464773,0.11311972446315822,-0.06384883450884585,0.11116204677379471,0.29421178131335063,0.848
FT|quarta-feira,11,67.0,0.09673862816276083,0.08060952329390393,-0.06265550127977242,0.08059323259223865,0.22413067820786473,0.827375
FH|quinta-feira,11,61.0,0.08929004428116517,0.07453418385313014,-0.07440563420064195,0.07498174784878667,0.224435379603152,0.799625
FT|sexta-feira,5,11.0,0.17228739002932555,0.07951729059670168,-0.13190305879157968,0.07967740819977293,0.2953844061877647,0.739125
FT|sábado,11,84.0,0.00720091055379631,0.02718789648428816,-0.10840691254253956,0.02715269659122963,0.16396105817166887,0.63
FH|quarta-feira,8,68.0,-0.038480526847034645,0.0041822166547980455,-0.1429831501455953,0.004818232692274809,0.14767023439722712,0.52025
FT|domingo,2,6.0,-0.4166666666666667,0.0021502705224945265,-0.23505940639178521,0.006452906067447115,0.22216951886826297,0.519375
FH|sexta-feira,4,119.0,-0.03361344537815126,-0.004779167547543372,-0.1260961611253414,-0.005141027395401536,0.11687774760329672,0.47075
FT|quinta-feira,3,66.0,-0.10607249936826887,-0.03634175245091005,-0.18590001048653534,-0.034490165468409203,0.11116721258293105,0.350125
FH|domingo,3,44.0,-0.15942513368983957,-0.045131185596514745,-0.2197510386419626,-0.041902914670549296,0.11866750292944346,0.33275
