rule_key,n_weeks,sum_w,mean_roi_obs,post_mean,ci05,ci50,ci95,p_pos
FT|terça-feira,9,205.0,0.14297312238641469,0.12377896465439557,0.025555699071706527,0.12278122155207276,0.22131102835084906,0.981875
FH|terça-feira,9,32.0,0.36112505318915156,0.16416718101274227,-0.007829760908029216,0.1606604497644535,0.3475037789987848,0.941375
FH|sábado,13,260.0,0.07435868372324468,0.07107742555549536,-0.01640472366165675,0.07027900492817166,0.15892294290104592,0.91
FT|segunda-feira,8,39.0,0.23208581858980892,0.1274255096804168,-0.03472402959553054,0.12542100577743723,0.2981854013233733,0.899125
FT|quinta-feira,3,121.0,0.0586334181249316,0.05667720750104704,-0.06022508838235925,0.05667199240886565,0.17281468173696393,0.784625
FT|quarta-feira,11,77.0,0.0686999031169533,0.06383737470502544,-0.07024428984840649,0.06344375446534439,0.19845011840708357,0.783
FH|quinta-feira,11,68.0,0.06264720051752794,0.059290553026860496,-0.08209448040530058,0.05956791692026379,0.20118434226316778,0.758625
FT|sexta-feira,5,11.0,0.17228739002932555,0.07544296877290307,-0.12277572850439986,0.07516449714991225,0.2777318352575622,0.740375
FT|domingo,4,16.0,-0.09374999999999997,0.02392204692067437,-0.16981426775481634,0.025882599111291663,0.2144022990475094,0.586875
FH|quarta-feira,8,64.0,-0.03274272074184908,0.012465372415928643,-0.13287242350390963,0.01287901573868093,0.15545747943617994,0.557
FT|sábado,12,126.0,-0.02352674586130855,0.003955801670199937,-0.11373351436385687,0.0044444722272871506,0.12187112646437394,0.523375
FH|sexta-feira,4,119.0,-0.03361344537815126,-0.0014200780540875168,-0.12121676268276052,-0.0016682451649418888,0.1183147344930178,0.489
FH|domingo,3,44.0,-0.16179052842394315,-0.036169951942175094,-0.20429178767274825,-0.03292692531229216,0.12159997649338256,0.35875
