week,stake_base,pnl_base,stake_gate,pnl_gate,delta_pnl
2025-09-29/2025-10-05,0.0,0.0,0.0,0.0,0.0
2025-10-06/2025-10-12,3308.0,-314.0,1371.0,-152.0,162.0
2025-10-13/2025-10-19,3248.734922647476,678.3915601372719,608.5301163196564,245.10240796208382,-433.28915217518806
2025-10-20/2025-10-26,5668.338343918324,-276.07872611284256,4783.267515897751,-415.8267515897751,-139.74802547693253
2025-10-27/2025-11-02,4282.0,437.0,4282.0,437.0,0.0
2025-11-03/2025-11-09,6512.0,-50.0,4833.0,122.5,172.5
2025-11-10/2025-11-16,4678.399721443653,-97.7782790362835,3605.6896438002586,-167.0579844713211,-69.27970543503761
2025-11-17/2025-11-23,4252.0,334.0,1722.0,299.5,-34.5
2025-11-24/2025-11-30,8548.693864881992,977.429385304451,5350.1762999892235,628.5352777540684,-348.8941075503826
2025-12-01/2025-12-07,8081.0,-173.4999999999999,7278.0,108.50000000000006,281.99999999999994
2025-12-08/2025-12-14,4371.0,1538.0,2856.0,1281.0,-257.0
2025-12-15/2025-12-21,3149.986204624176,127.6493102312088,3020.336894392967,160.06163778901094,32.41232755780214
2025-12-22/2025-12-28,1904.0,374.0,1460.0,425.0,51.0
2025-12-29/2026-01-04,1267.0,178.0,1221.0,224.0,46.0
2026-01-05/2026-01-11,4674.0,293.0,3235.0,64.5,-228.5
2026-01-12/2026-01-18,3375.0,-391.5,3375.0,-391.5,0.0
