week,stake_base,pnl_base,stake_gate,pnl_gate,delta_pnl
2025-09-29/2025-10-05,0.0,0.0,0.0,0.0,0.0
2025-10-06/2025-10-12,0.0,0.0,0.0,0.0,0.0
2025-10-13/2025-10-19,0.0,0.0,0.0,0.0,0.0
2025-10-20/2025-10-26,2185.0,-172.63800000000003,0.0,0.0,172.63800000000003
2025-10-27/2025-11-02,0.0,0.0,0.0,0.0,0.0
2025-11-03/2025-11-09,2352.933250427246,199.63229491031169,2352.933250427246,199.63229491031166,-2.842170943040401e-14
2025-11-10/2025-11-16,1672.5206995010376,121.8652902841568,1672.5206995010376,121.8652902841568,0.0
2025-11-17/2025-11-23,936.0315741300584,239.10021646595,936.0315741300583,239.10021646595004,2.842170943040401e-14
2025-11-24/2025-11-30,2371.382444024086,-141.23585567113764,2371.382444024086,-141.2358556711376,2.842170943040401e-14
2025-12-01/2025-12-07,2126.947360992432,-500.74179712772366,2126.9473609924316,-500.74179712772366,0.0
2025-12-08/2025-12-14,1068.56516456604,120.88068979263306,1068.56516456604,120.88068979263306,0.0
2025-12-15/2025-12-21,2373.6171548366547,-112.434650028348,1819.9783673286438,-272.6491976133585,-160.2145475850105
2025-12-22/2025-12-28,1024.0,262.685,525.0,117.199,-145.486
2025-12-29/2026-01-04,704.7914924621582,325.3713974419832,704.7914924621582,325.3713974419833,5.684341886080802e-14
2026-01-05/2026-01-11,1196.0,-51.79600000000002,1196.0,-51.79600000000003,-7.105427357601002e-15
2026-01-12/2026-01-18,2522.0,46.44999999999999,2522.0,46.449999999999974,-1.4210854715202004e-14
