week,alpha_global,n_enabled_rules,n_disabled_rules,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,1.0,0,0,0.0,0.0,
2025-10-06/2025-10-12,1.0,0,0,0.0,0.0,
2025-10-13/2025-10-19,1.0,0,0,0.0,0.0,
2025-10-20/2025-10-26,1.0,0,2,0.0,0.0,
2025-10-27/2025-11-02,1.0,0,0,0.0,0.0,
2025-11-03/2025-11-09,0.8908212184906006,2,0,2352.933250427246,199.63229491031166,0.08484401113973904
2025-11-10/2025-11-16,0.6215238571166992,2,0,1672.5206995010376,121.8652902841568,0.07286324786324787
2025-11-17/2025-11-23,0.6001525521278381,2,0,936.0315741300583,239.10021646595004,0.2554403324355466
2025-11-24/2025-11-30,0.6001525521278381,2,0,2371.382444024086,-141.2358556711376,-0.059558447026144504
2025-12-01/2025-12-07,0.6830205917358398,1,0,2126.9473609924316,-500.74179712772366,-0.2354274517137453
2025-12-08/2025-12-14,0.6003780364990234,1,0,1068.56516456604,120.88068979263306,0.11312430331913775
2025-12-15/2025-12-21,0.925817370414734,3,1,1819.9783673286438,-272.6491976133585,-0.14980903207852508
2025-12-22/2025-12-28,1.0,2,1,525.0,117.199,0.22323619047619048
2025-12-29/2026-01-04,0.9575971364974976,4,0,704.7914924621582,325.3713974419833,0.4616562500000001
2026-01-05/2026-01-11,1.0,3,0,1196.0,-51.79600000000003,-0.04330769230769233
2026-01-12/2026-01-18,1.0,3,0,2522.0,46.449999999999974,0.018417922283901655
