week,alpha_global,n_enabled_rules,n_disabled_rules,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,1.0,0,0,0.0,0.0,
2025-10-06/2025-10-12,1.0,0,0,0.0,0.0,
2025-10-13/2025-10-19,0.8459588885307312,1,2,2474.6747500896454,171.4846532344818,0.0692958350297427
2025-10-20/2025-10-26,0.5141497254371643,1,1,2011.6745390892029,-382.9778071343899,-0.19037761809511455
2025-10-27/2025-11-02,1.0,2,0,2392.0,644.0,0.2692307692307692
2025-11-03/2025-11-09,0.8490098714828491,2,1,2966.8662402629852,152.981429874897,0.051563305348520404
2025-11-10/2025-11-16,0.630630612373352,6,0,4995.92779481411,-190.06305718421936,-0.038043595702385705
2025-11-17/2025-11-23,1.0,5,0,3489.0,907.5,0.26010318142734307
2025-11-24/2025-11-30,0.7496894001960754,5,1,4467.242659151554,441.1356828510762,0.0987489860098308
2025-12-01/2025-12-07,1.0,7,0,5170.0,-582.0,-0.11257253384912959
2025-12-08/2025-12-14,0.9192876815795898,7,1,4091.563768386841,1392.9015755653381,0.34043257160684803
2025-12-15/2025-12-21,0.9898508787155152,9,0,3311.754995465279,66.29971063137052,0.02001950951146851
2025-12-22/2025-12-28,1.0,8,1,1207.0,310.0,0.25683512841756423
2025-12-29/2026-01-04,1.0,9,0,1380.0,103.5,0.075
2026-01-05/2026-01-11,1.0,9,0,3613.0,68.5,0.01895931358981456
2026-01-12/2026-01-18,0.9006864428520203,10,0,6464.504952728748,-77.71578818559652,-0.012021924146379023
