week,train_weeks,alpha_global,train_global_p80_exp_at1,train_global_var10_at1,train_global_p_dd_at1,train_global_p80_exp_at_alpha,train_global_var10_at_alpha,train_global_p_dd_at_alpha,train_global_n_days
2025-09-29/2025-10-05,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-06/2025-10-12,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-13/2025-10-19,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-20/2025-10-26,13,1.0,1326.0000000000002,-65.18199999999999,0.0,1326.0000000000002,-65.18199999999999,0.0,8
2025-10-27/2025-11-02,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-11-03/2025-11-09,15,1.0,1032.0,-97.6396,0.0,1032.0,-97.6396,0.0,17
2025-11-10/2025-11-16,16,1.0,869.4000000000001,-144.3477,0.0,869.4000000000001,-144.3477,0.0,28
2025-11-17/2025-11-23,17,1.0,216.20000000000002,-26.423550000000002,0.0,216.20000000000002,-26.423550000000002,0.0,10
2025-11-24/2025-11-30,18,1.0,345.0,-36.035250000000005,0.0,345.0,-36.035250000000005,0.0,16
2025-12-01/2025-12-07,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-08/2025-12-14,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-15/2025-12-21,21,1.0,846.4000000000003,-96.47579999999999,0.0,846.4000000000003,-96.47579999999999,0.0,13
2025-12-22/2025-12-28,22,1.0,815.4000000000001,-83.29909999999998,0.0,815.4000000000001,-83.29909999999998,0.0,24
2025-12-29/2026-01-04,23,1.0,450.8000000000002,-46.586499999999994,0.0,450.8000000000002,-46.586499999999994,0.0,25
2026-01-05/2026-01-11,24,1.0,991.0,-81.97200000000001,0.0,991.0,-81.97200000000001,0.0,26
2026-01-12/2026-01-18,25,1.0,202.4,-36.6252,0.0,202.4,-36.6252,0.0,27
