week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,12,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,13,1.0,76,2185.0,-172.63800000000003,-0.07901052631578949
2025-10-27/2025-11-02,14,1.0,0,0.0,0.0,
2025-11-03/2025-11-09,15,1.0,27,621.0,-81.834,-0.13177777777777777
2025-11-10/2025-11-16,16,1.0,67,2153.0,-220.55850000000004,-0.10244240594519277
2025-11-17/2025-11-23,17,1.0,13,823.0,298.43600000000004,0.36261968408262457
2025-11-24/2025-11-30,18,1.0,20,460.0,16.882000000000005,0.03670000000000001
2025-12-01/2025-12-07,19,1.0,7,161.0,42.32000000000001,0.2628571428571429
2025-12-08/2025-12-14,20,1.0,17,761.0,344.866,0.4531747700394218
2025-12-15/2025-12-21,21,1.0,27,621.0,100.41799999999998,0.16170370370370366
2025-12-22/2025-12-28,22,1.0,14,632.0,206.68900000000002,0.32703955696202536
2025-12-29/2026-01-04,23,1.0,12,299.0,92.62100000000002,0.30976923076923085
2026-01-05/2026-01-11,24,1.0,26,1242.0,54.00399999999998,0.04348148148148146
2026-01-12/2026-01-18,25,1.0,56,2614.0,-132.122,-0.05054399387911248
