week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,12,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,13,1.0,76,2185.0,-172.63800000000003,-0.07901052631578949
2025-10-27/2025-11-02,14,1.0,0,0.0,0.0,
2025-11-03/2025-11-09,15,1.0,65,2314.0,32.538,0.014061365600691442
2025-11-10/2025-11-16,16,1.0,67,2153.0,-220.55850000000004,-0.10244240594519277
2025-11-17/2025-11-23,17,1.0,6,138.0,42.596000000000004,0.3086666666666667
2025-11-24/2025-11-30,18,1.0,41,1424.0,33.25350000000003,0.023352176966292156
2025-12-01/2025-12-07,19,1.0,6,661.0,-421.758,-0.6380605143721634
2025-12-08/2025-12-14,20,1.0,3,353.0,285.307,0.8082351274787536
2025-12-15/2025-12-21,21,1.0,28,644.0,57.0745,0.088625
2025-12-22/2025-12-28,22,1.0,0,0.0,0.0,
2025-12-29/2026-01-04,23,1.0,0,0.0,0.0,
2026-01-05/2026-01-11,24,1.0,0,0.0,0.0,
2026-01-12/2026-01-18,25,1.0,1,23.0,-23.0,-1.0
