week,alpha_global,rule_key,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-10-20/2025-10-26,1.0,FH|quinta-feira,19,874.0,60.053000000000004,0.06871052631578947
2025-10-20/2025-10-26,1.0,FT|quinta-feira,57,1311.0,-232.69100000000003,-0.17749122807017545
2025-11-03/2025-11-09,1.0,FT|quarta-feira,29,667.0,-46.87400000000001,-0.07027586206896554
2025-11-03/2025-11-09,1.0,FT|sábado,36,1647.0,79.412,0.04821615057680632
2025-11-10/2025-11-16,1.0,FH|quarta-feira,5,115.0,-80.5,-0.7
2025-11-10/2025-11-16,1.0,FH|quinta-feira,5,727.0000000000001,70.67899999999996,0.09722008253094903
2025-11-10/2025-11-16,1.0,FT|quarta-feira,29,667.0,-37.742999999999995,-0.056586206896551715
2025-11-10/2025-11-16,1.0,FT|sábado,28,644.0,-172.99450000000002,-0.268625
2025-11-17/2025-11-23,1.0,FH|quinta-feira,6,138.0,42.596000000000004,0.3086666666666667
2025-11-24/2025-11-30,1.0,FH|quinta-feira,5,596.0,41.26900000000012,0.06924328859060423
2025-11-24/2025-11-30,1.0,FT|quarta-feira,16,368.0,-24.897500000000008,-0.06765625000000001
2025-11-24/2025-11-30,1.0,FT|segunda-feira,20,460.0,16.881999999999994,0.03669999999999999
2025-12-01/2025-12-07,1.0,FH|quinta-feira,6,661.0,-421.75800000000004,-0.6380605143721635
2025-12-08/2025-12-14,1.0,FT|quarta-feira,3,353.0,285.307,0.8082351274787536
2025-12-15/2025-12-21,1.0,FH|terça-feira,6,138.0,-10.120000000000001,-0.07333333333333333
2025-12-15/2025-12-21,1.0,FT|quarta-feira,6,138.0,-51.8765,-0.3759166666666667
2025-12-15/2025-12-21,1.0,FT|terça-feira,16,368.0,119.071,0.3235625
2026-01-12/2026-01-18,1.0,FT|segunda-feira,1,23.0,-23.0,-1.0
