date,stake_usd,profit_cap2_usd,week,alpha_global
2025-10-23,2234.857808291912,-115.92676505470276,2025-10-20/2025-10-26,0.8616388440132141
2025-11-05,2192.956498026848,164.2760837472975,2025-11-03/2025-11-09,0.6767485737800598
2025-11-12,1672.5206995010376,121.8652902841568,2025-11-10/2025-11-16,0.6215238571166992
2025-11-19,967.1481170654297,164.987422290802,2025-11-17/2025-11-23,0.7805957794189453
2025-11-26,2533.99991607666,9.844125223159729,2025-11-24/2025-11-30,0.7805957794189453
2025-12-03,2246.0,-612.925,2025-12-01/2025-12-07,1.0
2025-12-08,623.0,360.046,2025-12-08/2025-12-14,1.0
2025-12-10,1173.0,240.93600000000004,2025-12-08/2025-12-14,1.0
2025-12-15,460.0,-25.48400000000001,2025-12-15/2025-12-21,1.0
2025-12-16,759.0,193.982,2025-12-15/2025-12-21,1.0
2025-12-17,1531.0,-410.56450000000007,2025-12-15/2025-12-21,1.0
2025-12-22,133.0,61.202999999999996,2025-12-22/2025-12-28,1.0
2025-12-23,499.0,145.48600000000002,2025-12-22/2025-12-28,1.0
2025-12-24,387.0,-50.31,2025-12-22/2025-12-28,1.0
2025-12-30,483.0,104.55800000000002,2025-12-29/2026-01-04,1.0
2025-12-31,138.0,258.06,2025-12-29/2026-01-04,1.0
2026-01-06,1127.0,-65.36600000000001,2026-01-05/2026-01-11,1.0
2026-01-12,46.0,-46.0,2026-01-12/2026-01-18,1.0
2026-01-13,2637.0,63.90699999999999,2026-01-12/2026-01-18,1.0
2026-01-14,69.0,-29.118000000000002,2026-01-12/2026-01-18,1.0
