week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,12,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,12,0.8616388440132141,76,2234.857808291912,-115.92676505470281,-0.05187209880851656
2025-10-27/2025-11-02,12,1.0,0,0.0,0.0,
2025-11-03/2025-11-09,12,0.6767485737800598,42,2192.956498026848,164.2760837472975,0.07491078090017192
2025-11-10/2025-11-16,12,0.6215238571166992,27,1672.5206995010376,121.8652902841568,0.07286324786324787
2025-11-17/2025-11-23,12,0.7805957794189453,16,967.1481170654297,164.98742229080202,0.17059168019828783
2025-11-24/2025-11-30,12,0.7805957794189453,38,2533.99991607666,9.844125223159693,0.0038848167123861433
2025-12-01/2025-12-07,12,1.0,24,2246.0,-612.925,-0.2728962600178094
2025-12-08/2025-12-14,12,1.0,24,1796.0,600.9820000000001,0.3346224944320713
2025-12-15/2025-12-21,12,1.0,46,2750.0,-242.06650000000008,-0.08802418181818185
2025-12-22/2025-12-28,12,1.0,17,1019.0,156.37900000000002,0.1534631992149166
2025-12-29/2026-01-04,12,1.0,12,621.0,362.61800000000005,0.583925925925926
2026-01-05/2026-01-11,12,1.0,27,1127.0,-65.36600000000003,-0.058000000000000024
2026-01-12/2026-01-18,12,1.0,69,2752.0,-11.211000000000025,-0.00407376453488373
