week,alpha_global,rule_key,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-10-20/2025-10-26,0.8616388440132141,FH|quinta-feira,19,1105.2492837905884,84.56883919757605,0.07651562451824155
2025-10-20/2025-10-26,0.8616388440132141,FT|quinta-feira,57,1129.6085245013237,-200.4956042522788,-0.17749122807017545
2025-11-03/2025-11-09,0.6767485737800598,FH|quarta-feira,21,653.7391222715378,85.67095545196533,0.13104761904761905
2025-11-03/2025-11-09,0.6767485737800598,FT|quarta-feira,21,1539.21737575531,78.60512829533215,0.05106824385786302
2025-11-10/2025-11-16,0.6215238571166992,FH|quarta-feira,6,171.54058456420898,-87.62864861488342,-0.5108333333333333
2025-11-10/2025-11-16,0.6215238571166992,FT|quarta-feira,21,1500.9801149368286,209.49393889904022,0.13957142857142857
2025-11-17/2025-11-23,0.7805957794189453,FH|quarta-feira,8,287.2592468261719,90.45075534439087,0.314875
2025-11-17/2025-11-23,0.7805957794189453,FT|quarta-feira,8,679.8888702392578,74.53666694641112,0.10963066202301727
2025-11-24/2025-11-30,0.7805957794189453,FH|quarta-feira,19,671.3333053588867,-52.93596175384523,-0.07885198206507317
2025-11-24/2025-11-30,0.7805957794189453,FT|quarta-feira,19,1862.6666107177734,62.780086977004956,0.03370441420690567
2025-12-01/2025-12-07,1.0,FT|quarta-feira,24,2246.0,-612.925,-0.2728962600178094
2025-12-08/2025-12-14,1.0,FT|quarta-feira,10,1173.0,240.93600000000004,0.20540153452685425
2025-12-08/2025-12-14,1.0,FT|segunda-feira,14,623.0,360.046,0.5779229534510433
2025-12-15/2025-12-21,1.0,FH|terça-feira,7,161.0,20.93,0.13
2025-12-15/2025-12-21,1.0,FT|quarta-feira,16,1531.0,-410.56450000000007,-0.2681675375571522
2025-12-15/2025-12-21,1.0,FT|segunda-feira,10,460.0,-25.48400000000001,-0.05540000000000002
2025-12-15/2025-12-21,1.0,FT|terça-feira,13,598.0,173.052,0.28938461538461535
2025-12-22/2025-12-28,1.0,FT|quarta-feira,3,387.0,-50.31,-0.13
2025-12-22/2025-12-28,1.0,FT|segunda-feira,3,133.0,61.202999999999996,0.460172932330827
2025-12-22/2025-12-28,1.0,FT|terça-feira,11,499.0,145.48600000000002,0.2915551102204409
2025-12-29/2026-01-04,1.0,FH|terça-feira,1,23.0,0.0,0.0
2025-12-29/2026-01-04,1.0,FT|quarta-feira,1,138.0,258.06,1.87
2025-12-29/2026-01-04,1.0,FT|terça-feira,10,460.0,104.55800000000002,0.22730000000000006
2026-01-05/2026-01-11,1.0,FH|terça-feira,5,115.0,-46.0,-0.4
2026-01-05/2026-01-11,1.0,FT|terça-feira,22,1012.0,-19.36600000000002,-0.019136363636363656
2026-01-12/2026-01-18,1.0,FH|terça-feira,13,299.0,-79.971,-0.2674615384615385
2026-01-12/2026-01-18,1.0,FT|quarta-feira,3,69.0,-29.118000000000002,-0.42200000000000004
2026-01-12/2026-01-18,1.0,FT|segunda-feira,1,46.0,-46.0,-1.0
2026-01-12/2026-01-18,1.0,FT|terça-feira,52,2338.0,143.878,0.06153892215568862
