week,train_weeks,alpha_global,alpha_regime,alpha_effective,train_global_p80_exp_at1,train_global_var10_at1,train_global_p_dd_at1,train_global_p80_exp_at_alpha,train_global_var10_at_alpha,train_global_p_dd_at_alpha,train_global_n_days
2025-09-29/2025-10-05,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-06/2025-10-12,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-13/2025-10-19,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-20/2025-10-26,12,1.0,1.0,1.0,892.4000000000003,-46.0276,0.0,892.4000000000003,-46.0276,0.0,7
2025-10-27/2025-11-02,12,1.0,1.0,1.0,1027.6000000000001,-64.9842,0.0,1027.6000000000001,-64.9842,0.0,14
2025-11-03/2025-11-09,12,0.9040834307670593,1.0,0.9040834307670593,1740.6000000000001,-32.02289999999999,0.0,1609.9999993324282,-28.951373295110457,0.0,14
2025-11-10/2025-11-16,12,0.6215238571166992,1.0,0.6215238571166992,2398.0,58.9664,0.0,1609.9999200820923,25.32567221279146,0.0,7
2025-11-17/2025-11-23,12,0.6001525521278381,1.0,0.6001525521278381,2637.6000000000004,64.1724,0.0,1609.9999916791917,27.260966679573066,0.0,7
2025-11-24/2025-11-30,12,0.6001525521278381,1.0,0.6001525521278381,2637.6000000000004,142.48740000000004,0.0,1609.9999916791917,74.26191379946474,0.0,7
2025-12-01/2025-12-07,12,0.6830205917358398,1.0,0.6830205917358398,2293.4,-34.850650000000016,0.0,1609.9999929428102,-24.07916942667962,0.0,8
2025-12-08/2025-12-14,12,0.7293199300765991,1.0,0.7293199300765991,2072.4,-191.59470000000005,0.058823529411764705,1609.999954557419,-123.30045540305377,0.0,17
2025-12-15/2025-12-21,12,1.0,1.0,1.0,1519.8000000000002,-148.3075,0.034482758620689655,1519.8000000000002,-148.3075,0.034482758620689655,29
2025-12-22/2025-12-28,12,1.0,1.0,1.0,1533.2,-208.61940000000007,0.030303030303030304,1533.2,-208.61940000000007,0.030303030303030304,33
2025-12-29/2026-01-04,12,0.8243277072906494,1.0,0.8243277072906494,1888.0,-206.85555000000005,0.029411764705882353,1609.9999789237977,-151.87360950338845,0.029411764705882353,34
2026-01-05/2026-01-11,12,1.0,1.0,1.0,1351.8,-124.51299999999999,0.0,1351.8,-124.51299999999999,0.0,23
2026-01-12/2026-01-18,12,1.0,1.0,1.0,1242.0,-123.51359999999997,0.0,1242.0,-123.51359999999997,0.0,47
2026-01-19/2026-01-25,12,1.0,1.0,1.0,1490.6000000000001,-96.15840000000003,0.0,1490.6000000000001,-96.15840000000003,0.0,58
