week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,12,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,12,1.0,19,1252.0,97.24600000000004,0.07767252396166137
2025-10-27/2025-11-02,12,1.0,12,276.0,-10.235,-0.03708333333333333
2025-11-03/2025-11-09,12,0.9040834307670593,59,3854.614863038063,-124.12716731682417,-0.03220222297876779
2025-11-10/2025-11-16,12,0.6215238571166992,27,1672.5206995010376,121.8652902841568,0.07286324786324787
2025-11-17/2025-11-23,12,0.6001525521278381,19,936.0315741300583,239.10021646594996,0.2554403324355465
2025-11-24/2025-11-30,12,0.6001525521278381,46,2371.382444024086,-141.23585567113764,-0.05955844702614452
2025-12-01/2025-12-07,12,0.6830205917358398,30,2126.9473609924316,-500.74179712772366,-0.2354274517137453
2025-12-08/2025-12-14,12,0.7293199300765991,33,1531.7538042068481,273.7313837131262,0.17870455615082742
2025-12-15/2025-12-21,12,1.0,31,2060.0,-289.76849999999996,-0.1406643203883495
2025-12-22/2025-12-28,12,0.8913613557815552,21,1105.0655591487885,333.89028751492503,0.3021452299826578
2025-12-29/2026-01-04,12,0.9004244208335876,14,683.422135412693,324.1077702790499,0.47424242424242424
2026-01-05/2026-01-11,12,1.0,31,1311.0,-63.06600000000001,-0.04810526315789474
2026-01-12/2026-01-18,12,1.0,71,3120.0,73.314,0.02349807692307692
2026-01-19/2026-01-25,12,1.0,124,4540.0,577.5624999999999,0.12721640969162992
