week,alpha_global,rule_key,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-10-20/2025-10-26,1.0,FH|quinta-feira,19,874.0,60.053000000000004,0.06871052631578947
2025-10-27/2025-11-02,1.0,FH|quarta-feira,12,276.0,-10.235,-0.03708333333333333
2025-11-03/2025-11-09,0.9040834307670593,FH|quarta-feira,21,873.3445941209793,114.44972966766358,0.13104761904761905
2025-11-03/2025-11-09,0.9040834307670593,FH|quinta-feira,17,1035.7263508439064,-386.7065538985729,-0.37336749575163913
2025-11-03/2025-11-09,0.9040834307670593,FT|quarta-feira,21,1945.5439180731773,148.12965691408507,0.07613791471784885
2025-11-10/2025-11-16,0.6215238571166992,FH|quarta-feira,6,171.54058456420898,-87.62864861488342,-0.5108333333333333
2025-11-10/2025-11-16,0.6215238571166992,FT|quarta-feira,21,1500.9801149368286,209.49393889904022,0.13957142857142857
2025-11-17/2025-11-23,0.6001525521278381,FH|quarta-feira,8,220.85613918304443,69.54207682526112,0.314875
2025-11-17/2025-11-23,0.6001525521278381,FT|quarta-feira,11,715.1754349470139,169.55813964068886,0.2370860789608233
2025-11-24/2025-11-30,0.6001525521278381,FH|quarta-feira,19,521.92631316185,-46.478259535551075,-0.08905138208875495
2025-11-24/2025-11-30,0.6001525521278381,FT|quarta-feira,27,1849.456130862236,-94.75759613558657,-0.051235384583796305
2025-12-01/2025-12-07,0.6830205917358398,FT|quarta-feira,30,2126.9473609924316,-500.74179712772366,-0.2354274517137453
2025-12-08/2025-12-14,0.7293199300765991,FT|quarta-feira,16,1246.589711546898,136.33261412620547,0.10936446279267764
2025-12-08/2025-12-14,0.7293199300765991,FT|segunda-feira,17,285.16409265995026,137.39876958692074,0.4818235294117647
2025-12-15/2025-12-21,1.0,FH|terça-feira,7,161.0,20.93,0.13
2025-12-15/2025-12-21,1.0,FT|quarta-feira,18,1623.0,-298.5545000000001,-0.18395224892174988
2025-12-15/2025-12-21,1.0,FT|segunda-feira,6,276.0,-12.144000000000002,-0.044000000000000004
2025-12-22/2025-12-28,1.0,FT|quarta-feira,4,456.0,84.24,0.18473684210526314
2025-12-22/2025-12-28,1.0,FT|segunda-feira,3,133.0,61.202999999999996,0.460172932330827
2025-12-22/2025-12-28,1.0,FT|terça-feira,8,184.0,43.24000000000001,0.23500000000000004
2025-12-29/2026-01-04,0.8243277072906494,FH|terça-feira,1,18.959537267684937,0.0,0.0
2025-12-29/2026-01-04,0.8243277072906494,FT|quarta-feira,2,189.59537267684937,177.27167345285417,0.935
2025-12-29/2026-01-04,0.8243277072906494,FT|segunda-feira,1,37.91907453536987,33.25502836751938,0.877
2025-12-29/2026-01-04,0.8243277072906494,FT|terça-feira,8,455.0288944244385,72.40647282528877,0.159125
2026-01-05/2026-01-11,1.0,FH|terça-feira,6,138.0,-57.5,-0.4166666666666667
2026-01-05/2026-01-11,1.0,FT|segunda-feira,2,92.0,50.14,0.545
2026-01-05/2026-01-11,1.0,FT|terça-feira,18,1242.0,-91.08000000000003,-0.07333333333333336
2026-01-12/2026-01-18,1.0,FT|quarta-feira,4,92.0,-5.428000000000008,-0.05900000000000009
2026-01-12/2026-01-18,1.0,FT|segunda-feira,4,184.0,-184.0,-1.0
2026-01-12/2026-01-18,1.0,FT|sexta-feira,27,621.0,-63.342,-0.102
2026-01-12/2026-01-18,1.0,FT|terça-feira,48,3088.0,283.81499999999994,0.09190900259067356
2026-01-19/2026-01-25,1.0,FT|segunda-feira,6,552.0,335.432,0.6076666666666667
