week,train_weeks,alpha_global,alpha_regime,alpha_effective,train_global_p80_exp_at1,train_global_var10_at1,train_global_p_dd_at1,train_global_p80_exp_at_alpha,train_global_var10_at_alpha,train_global_p_dd_at_alpha,train_global_n_days
2025-09-29/2025-10-05,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-06/2025-10-12,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-13/2025-10-19,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-20/2025-10-26,12,1.0,1.0,1.0,892.4000000000003,-46.0276,0.0,892.4000000000003,-46.0276,0.0,7
2025-10-27/2025-11-02,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-11-03/2025-11-09,12,0.8908212184906006,1.0,0.8908212184906006,1723.0,41.541,0.0,1609.9999611377716,33.6460639514923,0.0,6
2025-11-10/2025-11-16,12,0.6215238571166992,1.0,0.6215238571166992,2398.0,58.9664,0.0,1609.9999200820923,25.32567221279146,0.0,7
2025-11-17/2025-11-23,12,0.7293199300765991,1.0,0.7293199300765991,2072.4,25.634799999999995,0.0,1609.999954557419,8.701054825592038,0.0,7
2025-11-24/2025-11-30,12,0.7293199300765991,1.0,0.7293199300765991,2072.4,130.52929999999998,0.0,1609.999954557419,63.409792446243756,0.0,7
2025-12-01/2025-12-07,12,0.6830205917358398,1.0,0.6830205917358398,2293.4,-34.850650000000016,0.0,1609.9999929428102,-24.07916942667962,0.0,8
2025-12-08/2025-12-14,12,0.6003780364990234,1.0,0.6003780364990234,2539.0,-343.67600000000004,0.1111111111111111,1609.9999065399172,-162.29323536186217,0.0,9
2025-12-15/2025-12-21,12,0.6322060823440552,1.0,0.6322060823440552,2477.0,-289.6067500000001,0.1,1609.9999085426332,-136.01350340344314,0.0,10
2025-12-22/2025-12-28,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-29/2026-01-04,12,1.0,1.0,1.0,1506.8,-81.2773,0.0,1506.8,-81.2773,0.0,12
2026-01-05/2026-01-11,12,1.0,1.0,1.0,1506.8,-81.2773,0.0,1506.8,-81.2773,0.0,12
2026-01-12/2026-01-18,12,1.0,1.0,1.0,1506.8,-90.54870000000003,0.0,1506.8,-90.54870000000003,0.0,12
