week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,12,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,12,1.0,19,874.0,60.05300000000001,0.06871052631578949
2025-10-27/2025-11-02,12,1.0,0,0.0,0.0,
2025-11-03/2025-11-09,12,0.8908212184906006,42,2352.933250427246,199.63229491031166,0.08484401113973904
2025-11-10/2025-11-16,12,0.6215238571166992,27,1672.5206995010376,121.8652902841568,0.07286324786324787
2025-11-17/2025-11-23,12,0.7293199300765991,11,836.1025437116623,193.05271405696865,0.23089597742396617
2025-11-24/2025-11-30,12,0.7293199300765991,27,2202.0512150526047,-130.69874852043392,-0.059353182899205034
2025-12-01/2025-12-07,12,0.6830205917358398,30,2126.9473609924316,-500.74179712772366,-0.2354274517137453
2025-12-08/2025-12-14,12,0.6003780364990234,16,1068.56516456604,120.88068979263306,0.11312430331913775
2025-12-15/2025-12-21,12,0.6322060823440552,18,1167.1480931043625,-189.05033893138173,-0.16197630793239662
2025-12-22/2025-12-28,12,1.0,0,0.0,0.0,
2025-12-29/2026-01-04,12,1.0,8,552.0,87.83700000000002,0.15912500000000004
2026-01-05/2026-01-11,12,1.0,19,1311.0,-91.08000000000001,-0.06947368421052633
2026-01-12/2026-01-18,12,1.0,52,3180.0,125.98899999999996,0.03961918238993709
