week,train_weeks,alpha_global,alpha_regime,alpha_effective,train_global_p80_exp_at1,train_global_var10_at1,train_global_p_dd_at1,train_global_p80_exp_at_alpha,train_global_var10_at_alpha,train_global_p_dd_at_alpha,train_global_n_days
2025-09-29/2025-10-05,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-06/2025-10-12,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-13/2025-10-19,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-20/2025-10-26,12,1.0,1.0,1.0,1423.0000000000005,-42.58219999999998,0.0,1423.0000000000005,-42.58219999999998,0.0,7
2025-10-27/2025-11-02,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-11-03/2025-11-09,12,0.8908212184906006,1.0,0.8908212184906006,1723.0,41.541,0.0,1609.9999611377716,33.6460639514923,0.0,6
2025-11-10/2025-11-16,12,0.6215238571166992,1.0,0.6215238571166992,2398.0,58.9664,0.0,1609.9999200820923,25.32567221279146,0.0,7
2025-11-17/2025-11-23,12,0.6001525521278381,1.0,0.6001525521278381,2637.6000000000004,64.1724,0.0,1609.9999916791917,27.260966679573066,0.0,7
2025-11-24/2025-11-30,12,0.6001525521278381,1.0,0.6001525521278381,2637.6000000000004,142.48740000000004,0.0,1609.9999916791917,74.26191379946474,0.0,7
2025-12-01/2025-12-07,12,0.6830205917358398,1.0,0.6830205917358398,2293.4,-34.850650000000016,0.0,1609.9999929428102,-24.07916942667962,0.0,8
2025-12-08/2025-12-14,12,0.6003780364990234,0.0,0.0,2539.0,-343.67600000000004,0.1111111111111111,1609.9999065399172,-162.29323536186217,0.0,9
2025-12-15/2025-12-21,12,0.9258173704147339,1.0,0.9258173704147339,1736.6000000000004,-134.7869,0.03333333333333333,1609.9999243497853,-124.78805332435368,0.03333333333333333,30
2025-12-22/2025-12-28,12,1.0,0.0,0.0,1597.8000000000002,-180.93179999999998,0.030303030303030304,1597.8000000000002,-180.93179999999998,0.030303030303030304,33
2025-12-29/2026-01-04,12,0.9575971364974976,1.0,0.9575971364974976,1664.6000000000001,-127.4315,0.029411764705882353,1609.9999522924425,-122.02803949958086,0.029411764705882353,34
2026-01-05/2026-01-11,12,1.0,1.0,1.0,1008.6000000000001,-99.32779999999998,0.0,1008.6000000000001,-99.32779999999998,0.0,23
2026-01-12/2026-01-18,12,1.0,1.0,1.0,676.6000000000005,-57.68169999999999,0.0,676.6000000000005,-57.68169999999999,0.0,35
