week,alpha_global,rule_key,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-10-20/2025-10-26,1.0,FH|quinta-feira,19,874.0,60.053000000000004,0.06871052631578947
2025-10-20/2025-10-26,1.0,FT|quinta-feira,57,1311.0,-232.69100000000003,-0.17749122807017545
2025-11-03/2025-11-09,0.8908212184906006,FH|quarta-feira,21,430.2666485309601,56.385419845581055,0.13104761904761905
2025-11-03/2025-11-09,0.8908212184906006,FT|quarta-feira,21,1922.666601896286,143.24687506473057,0.07450427178765635
2025-11-10/2025-11-16,0.6215238571166992,FH|quarta-feira,6,171.54058456420898,-87.62864861488342,-0.5108333333333333
2025-11-10/2025-11-16,0.6215238571166992,FT|quarta-feira,21,1500.9801149368286,209.49393889904022,0.13957142857142857
2025-11-17/2025-11-23,0.6001525521278381,FH|quarta-feira,8,220.85613918304443,69.54207682526112,0.314875
2025-11-17/2025-11-23,0.6001525521278381,FT|quarta-feira,11,715.1754349470139,169.55813964068886,0.2370860789608233
2025-11-24/2025-11-30,0.6001525521278381,FH|quarta-feira,19,521.92631316185,-46.478259535551075,-0.08905138208875495
2025-11-24/2025-11-30,0.6001525521278381,FT|quarta-feira,27,1849.456130862236,-94.75759613558657,-0.051235384583796305
2025-12-01/2025-12-07,0.6830205917358398,FT|quarta-feira,30,2126.9473609924316,-500.74179712772366,-0.2354274517137453
2025-12-08/2025-12-14,0.6003780364990234,FT|quarta-feira,16,1068.56516456604,120.88068979263306,0.11312430331913775
2025-12-15/2025-12-21,0.9258173704147339,FH|terça-feira,7,149.05659663677216,19.377357562780386,0.13000000000000003
2025-12-15/2025-12-21,0.9258173704147339,FT|quarta-feira,18,1543.1589735746384,-286.40499210298066,-0.18559655680810389
2025-12-15/2025-12-21,0.9258173704147339,FT|segunda-feira,6,127.76279711723328,-5.621563073158267,-0.044000000000000025
2025-12-15/2025-12-21,0.9258173704147339,FT|terça-feira,13,553.6387875080109,160.21454758501054,0.2893846153846154
2025-12-22/2025-12-28,1.0,FT|quarta-feira,4,456.0,84.24,0.18473684210526314
2025-12-22/2025-12-28,1.0,FT|segunda-feira,3,69.0,32.959,0.47766666666666674
2025-12-22/2025-12-28,1.0,FT|terça-feira,11,499.0,145.48600000000002,0.2915551102204409
2025-12-29/2026-01-04,0.9575971364974976,FH|terça-feira,1,22.024734139442444,0.0,0.0
2025-12-29/2026-01-04,0.9575971364974976,FT|quarta-feira,2,220.24734139442444,205.93126420378687,0.935
2025-12-29/2026-01-04,0.9575971364974976,FT|segunda-feira,1,22.024734139442444,19.315691840291024,0.877
2025-12-29/2026-01-04,0.9575971364974976,FT|terça-feira,10,440.4946827888489,100.12444139790536,0.22730000000000003
2026-01-05/2026-01-11,1.0,FH|terça-feira,6,138.0,-57.5,-0.4166666666666667
2026-01-05/2026-01-11,1.0,FT|segunda-feira,2,46.0,25.07,0.545
2026-01-05/2026-01-11,1.0,FT|terça-feira,22,1012.0,-19.36600000000002,-0.019136363636363656
2026-01-12/2026-01-18,1.0,FT|quarta-feira,4,92.0,-5.428000000000008,-0.05900000000000009
2026-01-12/2026-01-18,1.0,FT|segunda-feira,4,92.0,-92.0,-1.0
2026-01-12/2026-01-18,1.0,FT|terça-feira,52,2338.0,143.878,0.06153892215568862
