week,train_weeks,alpha_global,alpha_regime,alpha_effective,train_global_p80_exp_at1,train_global_var10_at1,train_global_p_dd_at1,train_global_p80_exp_at_alpha,train_global_var10_at_alpha,train_global_p_dd_at_alpha,train_global_n_days
2025-09-29/2025-10-05,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-06/2025-10-12,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-13/2025-10-19,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-20/2025-10-26,12,1.0,1.0,1.0,1423.0000000000005,-42.58219999999998,0.0,1423.0000000000005,-42.58219999999998,0.0,7
2025-10-27/2025-11-02,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-11-03/2025-11-09,12,1.0,1.0,1.0,1564.0,-79.672,0.0,1564.0,-79.672,0.0,16
2025-11-10/2025-11-16,12,1.0,1.0,1.0,1459.6,-116.7066,0.0,1459.6,-116.7066,0.0,27
2025-11-17/2025-11-23,12,0.8989130258560181,1.0,0.8989130258560181,1742.0,-23.0115,0.0,1609.9999837875366,-20.68533709448576,0.0,16
2025-11-24/2025-11-30,12,0.9848170876502991,1.0,0.9848170876502991,1627.6000000000004,-133.48685,0.0,1609.999968004227,-134.58686946008504,0.0,22
2025-12-01/2025-12-07,12,1.0,1.0,1.0,1305.8000000000002,-71.29489999999998,0.0,1305.8000000000002,-71.29489999999998,0.0,24
2025-12-08/2025-12-14,12,1.0,1.0,1.0,1275.2000000000003,-145.86569999999998,0.0,1275.2000000000003,-145.86569999999998,0.0,17
2025-12-15/2025-12-21,12,1.0,1.0,1.0,1216.6000000000004,-110.84619999999997,0.0,1216.6000000000004,-110.84619999999997,0.0,30
2025-12-22/2025-12-28,12,1.0,1.0,1.0,815.0000000000001,-84.502,0.0,815.0000000000001,-84.502,0.0,33
2025-12-29/2026-01-04,12,1.0,1.0,1.0,1232.8000000000002,-76.21180000000001,0.0,1232.8000000000002,-76.21180000000001,0.0,34
2026-01-05/2026-01-11,12,1.0,1.0,1.0,1315.8000000000002,-138.3168,0.0,1315.8000000000002,-138.3168,0.0,35
2026-01-12/2026-01-18,12,1.0,1.0,1.0,1295.6000000000001,-160.02169999999998,0.0,1295.6000000000001,-160.02169999999998,0.0,35
