week,alpha_global,rule_key,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-10-20/2025-10-26,1.0,FH|quinta-feira,19,874.0,60.053000000000004,0.06871052631578947
2025-10-20/2025-10-26,1.0,FT|quinta-feira,57,1311.0,-232.69100000000003,-0.17749122807017545
2025-11-03/2025-11-09,0.8908212184906006,FH|quarta-feira,20,409.77776050567627,44.727242559194565,0.10915
2025-11-03/2025-11-09,0.8908212184906006,FT|quarta-feira,21,1922.666601896286,143.24687506473057,0.07450427178765635
2025-11-10/2025-11-16,1.0,FH|quarta-feira,5,526.0,-393.0,-0.747148288973384
2025-11-10/2025-11-16,1.0,FH|quinta-feira,5,635.0,60.581999999999994,0.0954047244094488
2025-11-10/2025-11-16,1.0,FT|quarta-feira,16,2208.0,411.37799999999993,0.18631249999999996
2025-11-10/2025-11-16,1.0,FT|sábado,28,644.0,-172.99450000000002,-0.268625
2025-11-17/2025-11-23,0.8989130258560181,FH|quarta-feira,8,165.39999675750732,52.08032397902012,0.314875
2025-11-17/2025-11-23,0.8989130258560181,FH|quinta-feira,6,124.0499975681305,38.29009924936295,0.3086666666666667
2025-11-17/2025-11-23,0.8989130258560181,FT|quarta-feira,9,859.199990272522,234.88499586582182,0.27337639493143007
2025-11-24/2025-11-30,0.9848170876502991,FH|quarta-feira,19,430.3650673031807,-40.27310998237133,-0.09357894736842105
2025-11-24/2025-11-30,0.9848170876502991,FH|quinta-feira,5,593.5555511116982,37.35788177871714,0.06293914985505199
2025-11-24/2025-11-30,0.9848170876502991,FT|quarta-feira,21,2418.952339053154,-35.046040661871515,-0.014488107142941693
2025-11-24/2025-11-30,0.9848170876502991,FT|segunda-feira,20,453.0158603191376,16.62568207371234,0.03669999999999998
2025-12-01/2025-12-07,1.0,FH|quinta-feira,6,661.0,-421.75800000000004,-0.6380605143721635
2025-12-01/2025-12-07,1.0,FT|quarta-feira,25,2213.0,-425.47999999999996,-0.19226389516493447
2025-12-01/2025-12-07,1.0,FT|segunda-feira,7,161.0,42.32,0.26285714285714284
2025-12-08/2025-12-14,1.0,FT|quarta-feira,8,1083.0000000000002,506.1730000000001,0.4673804247460757
2025-12-08/2025-12-14,1.0,FT|segunda-feira,17,391.0,188.393,0.4818235294117647
2025-12-15/2025-12-21,1.0,FH|terça-feira,6,138.0,-10.120000000000001,-0.07333333333333333
2025-12-15/2025-12-21,1.0,FT|quarta-feira,11,1201.0,-531.9395000000001,-0.4429138218151541
2025-12-15/2025-12-21,1.0,FT|segunda-feira,6,276.0,-12.144000000000002,-0.044000000000000004
2025-12-15/2025-12-21,1.0,FT|terça-feira,12,276.0,109.526,0.3968333333333333
2025-12-22/2025-12-28,1.0,FT|quarta-feira,1,161.00000000000003,-161.00000000000003,-1.0
2025-12-22/2025-12-28,1.0,FT|segunda-feira,3,133.0,61.202999999999996,0.460172932330827
2025-12-22/2025-12-28,1.0,FT|terça-feira,8,184.0,43.24000000000001,0.23500000000000004
2025-12-29/2026-01-04,1.0,FH|terça-feira,1,23.0,0.0,0.0
2025-12-29/2026-01-04,1.0,FT|quarta-feira,2,46.0,43.010000000000005,0.9350000000000002
2025-12-29/2026-01-04,1.0,FT|segunda-feira,1,46.0,40.342,0.877
2025-12-29/2026-01-04,1.0,FT|terça-feira,8,552.0,87.837,0.15912500000000002
2026-01-05/2026-01-11,1.0,FH|quarta-feira,1,46.0,-23.0,-0.5
2026-01-05/2026-01-11,1.0,FH|terça-feira,5,115.0,-46.0,-0.4
2026-01-05/2026-01-11,1.0,FT|quarta-feira,6,138.0,53.36,0.38666666666666666
2026-01-05/2026-01-11,1.0,FT|segunda-feira,2,92.0,50.14,0.545
2026-01-05/2026-01-11,1.0,FT|terça-feira,16,1104.0,-262.89,-0.23812499999999998
2026-01-12/2026-01-18,1.0,FH|quarta-feira,4,501.00000000000006,109.29900000000004,0.21816167664670663
2026-01-12/2026-01-18,1.0,FH|terça-feira,13,299.0,-79.971,-0.2674615384615385
2026-01-12/2026-01-18,1.0,FT|quarta-feira,4,92.0,-5.428000000000008,-0.05900000000000009
2026-01-12/2026-01-18,1.0,FT|segunda-feira,4,184.0,-184.0,-1.0
2026-01-12/2026-01-18,1.0,FT|terça-feira,52,2338.0,143.878,0.06153892215568862
