rule_key,mean_week_profit,ci95_lo,ci95_hi,p_week_pos,p_week_neg
FT|segunda-feira,53.14864747971296,-10.339860801026225,113.61094682719553,0.5,0.0625
FT|terça-feira,41.929170133545995,-16.58693409608677,108.94477867931116,0.3125,0.25
FT|sábado,34.499589670449495,-7.185018526948988,75.60736161712545,0.5,0.1875
FT|quarta-feira,25.191750176250924,-67.97058363198305,118.69536245996116,0.3125,0.25
FH|sábado,21.018287360668182,-40.356594741530714,102.6800817284733,0.375,0.3125
FH|quinta-feira,9.415744030848142,-56.17346101552248,84.74100608220317,0.3125,0.3125
FT|domingo,4.177736945450306,-6.729683607816696,14.574482195079327,0.1875,0.0625
FH|terça-feira,-3.1163093876093626,-36.959913881495595,27.611869557760578,0.25,0.125
FT|quinta-feira,-4.468559248372912,-59.36237923800945,45.956701492890716,0.0625,0.0625
FH|sexta-feira,-5.647241622209549,-39.17802411690354,32.337219421843706,0.0625,0.1875
FH|domingo,-7.793605970218778,-21.69839700870216,0.0,0.0,0.125
FH|quarta-feira,-23.867901107296348,-63.991506453603506,-1.358041126281023,0.0,0.25
