week,train_weeks,alpha_global,train_global_p80_exp_at1,train_global_var10_at1,train_global_p_dd_at1,train_global_p80_exp_at_alpha,train_global_var10_at_alpha,train_global_p_dd_at_alpha,train_global_n_days
2025-09-29/2025-10-05,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-06/2025-10-12,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-13/2025-10-19,12,0.8459588885307312,1811.6000000000001,-196.0,0.0,1609.999949240685,-169.07361371517183,0.0,13
2025-10-20/2025-10-26,13,0.5141497254371643,2943.4000000000005,-143.75,0.0,1609.9999862194063,-73.90902303159237,0.0,8
2025-10-27/2025-11-02,14,1.0,1523.0,-121.3,0.0,1523.0,-121.3,0.0,15
2025-11-03/2025-11-09,15,0.9530378580093384,1677.4000000000003,-109.85,0.0,1609.9999338150026,-105.90752817988395,0.0,24
2025-11-10/2025-11-16,16,0.7692307233810425,2093.0,-107.0,0.0,1609.999904036522,-89.230770021677,0.0,36
2025-11-17/2025-11-23,17,1.0,1359.0,-125.50000000000001,0.0,1359.0,-125.50000000000001,0.0,36
2025-11-24/2025-11-30,18,0.7496894001960754,2093.0,-161.00000000000003,0.0,1609.9999343156817,-120.69999343156816,0.0,41
2025-12-01/2025-12-07,19,0.9192876815795898,1749.6,-161.0,0.0,1609.9999740600585,-148.00531673431396,0.0,57
2025-12-08/2025-12-14,20,1.0,1584.6000000000004,-160.8,0.0,1584.6000000000004,-160.8,0.0,62
2025-12-15/2025-12-21,21,1.0,1584.8,-149.49999999999997,0.0,1584.8,-149.49999999999997,0.0,82
2025-12-22/2025-12-28,22,1.0,1161.0000000000002,-69.0,0.0,1161.0000000000002,-69.0,0.0,103
2025-12-29/2026-01-04,23,0.9953111410140991,1616.6,-96.80000000000001,0.0,1609.999962091446,-96.62744998931886,0.0,95
2026-01-05/2026-01-11,24,0.8050222992897034,1898.4,-137.45000000000002,0.0,1609.9999796509744,-106.85859018564226,0.0,80
2026-01-12/2026-01-18,25,1.0,1354.0000000000005,-73.0,0.0,1354.0000000000005,-73.0,0.0,123
