date,stake_usd,profit_cap2_usd,week,alpha_global
2025-10-09,1937.0000000000002,-162.00000000000006,2025-10-06/2025-10-12,1.0
2025-10-16,3564.556129932404,795.3631831407548,2025-10-13/2025-10-19,0.8382449746131897
2025-10-18,2452.674667596817,169.35561299324036,2025-10-13/2025-10-19,0.8382449746131897
2025-10-23,3135.9652460813522,-250.65514838695526,2025-10-20/2025-10-26,0.5707145929336548
2025-10-29,368.0,138.0,2025-10-27/2025-11-02,1.0
2025-11-01,2001.0,483.0,2025-10-27/2025-11-02,1.0
2025-11-04,659.3315786123276,35.93315786123276,2025-11-03/2025-11-09,0.8830892443656921
2025-11-05,1619.3957886695862,41.399736791849136,2025-11-03/2025-11-09,0.8830892443656921
2025-11-08,2250.90473562479,138.5552631020546,2025-11-03/2025-11-09,0.8830892443656921
2025-11-11,389.2307460308075,0.0,2025-11-10/2025-11-16,0.7692307233810425
2025-11-12,2025.7691168785095,-90.07691991329193,2025-11-10/2025-11-16,0.7692307233810425
2025-11-13,578.3845858573915,61.923073232173934,2025-11-10/2025-11-16,0.7692307233810425
2025-11-15,1521.538370847702,-168.07691305875778,2025-11-10/2025-11-16,0.7692307233810425
2025-11-17,562.1219429969788,243.56097149848938,2025-11-17/2025-11-23,0.8340402841567993
2025-11-19,631.5609714984894,35.14024287462236,2025-11-17/2025-11-23,0.8340402841567993
2025-11-22,1457.9024167060852,287.74389803409576,2025-11-17/2025-11-23,0.8340402841567993
2025-11-24,849.1397452354431,169.82794904708862,2025-11-24/2025-11-30,0.9229779839515686
2025-11-25,2158.1934649944305,942.3830302655697,2025-11-24/2025-11-30,0.9229779839515686
2025-11-26,2382.5079841017728,122.5712340772152,2025-11-24/2025-11-30,0.9229779839515686
2025-11-27,1280.9676942825317,-32.0,2025-11-24/2025-11-30,0.9229779839515686
2025-11-29,1846.8789458870888,318.42740446329117,2025-11-24/2025-11-30,0.9229779839515686
2025-12-01,286.363636136055,81.81818175315857,2025-12-01/2025-12-07,0.8893280625343323
2025-12-02,2290.545452952385,86.72727262973785,2025-12-01/2025-12-07,0.8893280625343323
2025-12-03,2353.090908050537,-458.95454517006885,2025-12-01/2025-12-07,0.8893280625343323
2025-12-04,724.9999994635582,-245.4545452594757,2025-12-01/2025-12-07,0.8893280625343323
2025-12-06,879.5454538464546,92.04545447230339,2025-12-01/2025-12-07,0.8893280625343323
2025-12-08,761.0,416.0,2025-12-08/2025-12-14,1.0
2025-12-09,644.0,230.0,2025-12-08/2025-12-14,1.0
2025-12-10,1129.0000000000002,589.0000000000001,2025-12-08/2025-12-14,1.0
2025-12-11,296.0,27.0,2025-12-08/2025-12-14,1.0
2025-12-13,1472.0,103.5,2025-12-08/2025-12-14,1.0
2025-12-15,275.6521625518799,45.94202709197998,2025-12-15/2025-12-21,0.9987397193908691
2025-12-16,872.8985147476196,310.10868287086487,2025-12-15/2025-12-21,0.9987397193908691
2025-12-17,1338.0144605636597,-197.25361514091495,2025-12-15/2025-12-21,0.9987397193908691
2025-12-18,758.0434470176697,-68.91304063796997,2025-12-15/2025-12-21,0.9987397193908691
2025-12-20,22.97101354598999,22.97101354598999,2025-12-15/2025-12-21,0.9987397193908691
2025-12-21,45.94202709197998,-22.97101354598999,2025-12-15/2025-12-21,0.9987397193908691
2025-12-22,133.0,133.0,2025-12-22/2025-12-28,1.0
2025-12-23,660.0,246.0,2025-12-22/2025-12-28,1.0
2025-12-24,161.00000000000003,-161.00000000000003,2025-12-22/2025-12-28,1.0
2025-12-25,444.0,-51.0,2025-12-22/2025-12-28,1.0
2025-12-26,184.0,23.0,2025-12-22/2025-12-28,1.0
2025-12-27,115.0,115.0,2025-12-22/2025-12-28,1.0
2025-12-29,69.0,69.0,2025-12-29/2026-01-04,1.0
2025-12-30,945.0,201.0,2025-12-29/2026-01-04,1.0
2025-12-31,161.00000000000003,0.0,2025-12-29/2026-01-04,1.0
2026-01-02,69.0,-57.5,2025-12-29/2026-01-04,1.0
2026-01-03,207.0,-69.0,2025-12-29/2026-01-04,1.0
2026-01-05,122.60503435134888,61.30251717567444,2026-01-05/2026-01-11,0.8884422779083252
2026-01-06,2199.680549621582,-172.90755152702332,2026-01-05/2026-01-11,0.8884422779083252
2026-01-07,306.51258587837225,-10.21708619594574,2026-01-05/2026-01-11,0.8884422779083252
2026-01-08,365.5125858783722,2.3025171756744385,2026-01-05/2026-01-11,0.8884422779083252
2026-01-10,408.6834478378296,143.03920674324036,2026-01-05/2026-01-11,0.8884422779083252
2026-01-11,20.43417239189148,20.43417239189148,2026-01-05/2026-01-11,0.8884422779083252
2026-01-12,276.0,-276.0,2026-01-12/2026-01-18,1.0
2026-01-13,3053.0,-115.5,2026-01-12/2026-01-18,1.0
