test_week,train_weeks,bet_type,dow_pt,score_col,cutoff,stake_frac,alpha_global,status,rule_key,train_global_p80_exp_at1,train_global_var10_at1,train_global_p_dd_at1,train_global_p80_exp_at_alpha,train_global_var10_at_alpha,train_global_p_dd_at_alpha
2025-09-29/2025-10-05,10,FT,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,too_few_weeks,FT|segunda-feira,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29/2025-10-05,10,FT,terça-feira,proba_raw_terca,1.0,0.0,1.0,too_few_weeks,FT|terça-feira,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29/2025-10-05,10,FT,quarta-feira,proba_raw_quarta,1.0,0.0,1.0,too_few_weeks,FT|quarta-feira,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29/2025-10-05,10,FT,quinta-feira,proba_raw_segqui,1.0,0.0,1.0,too_few_weeks,FT|quinta-feira,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29/2025-10-05,10,FT,sexta-feira,proba_cal_sexdom,1.0,0.0,1.0,no_candidate,FT|sexta-feira,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29/2025-10-05,10,FT,sábado,proba_cal_sexdom,1.0,0.0,1.0,no_candidate,FT|sábado,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29/2025-10-05,10,FT,domingo,proba_cal_sexdom,1.0,0.0,1.0,too_few_weeks,FT|domingo,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29/2025-10-05,10,FH,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,no_data,FH|segunda-feira,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29/2025-10-05,10,FH,terça-feira,proba_raw_terca,1.0,0.0,1.0,too_few_weeks,FH|terça-feira,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29/2025-10-05,10,FH,quarta-feira,proba_raw_quarta,1.0,0.0,1.0,too_few_weeks,FH|quarta-feira,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29/2025-10-05,10,FH,quinta-feira,proba_raw_segqui,1.0,0.0,1.0,too_few_weeks,FH|quinta-feira,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29/2025-10-05,10,FH,sexta-feira,proba_cal_sexdom,1.0,0.0,1.0,no_candidate,FH|sexta-feira,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29/2025-10-05,10,FH,sábado,proba_cal_sexdom,1.0,0.0,1.0,too_few_weeks,FH|sábado,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29/2025-10-05,10,FH,domingo,proba_cal_sexdom,1.0,0.0,1.0,too_few_weeks,FH|domingo,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-06/2025-10-12,11,FT,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,too_few_weeks,FT|segunda-feira,1603.0,-133.5,0.0,1603.0,-133.5,0.0
2025-10-06/2025-10-12,11,FT,terça-feira,proba_raw_terca,1.0,0.0,1.0,too_few_weeks,FT|terça-feira,1603.0,-133.5,0.0,1603.0,-133.5,0.0
2025-10-06/2025-10-12,11,FT,quarta-feira,proba_raw_quarta,1.0,0.0,1.0,too_few_weeks,FT|quarta-feira,1603.0,-133.5,0.0,1603.0,-133.5,0.0
2025-10-06/2025-10-12,11,FT,quinta-feira,proba_raw_segqui,1.0,0.0,1.0,no_candidate,FT|quinta-feira,1603.0,-133.5,0.0,1603.0,-133.5,0.0
2025-10-06/2025-10-12,11,FT,sexta-feira,proba_cal_sexdom,1.0,0.0,1.0,no_candidate,FT|sexta-feira,1603.0,-133.5,0.0,1603.0,-133.5,0.0
2025-10-06/2025-10-12,11,FT,sábado,proba_cal_sexdom,1.0,0.0,1.0,no_candidate,FT|sábado,1603.0,-133.5,0.0,1603.0,-133.5,0.0
2025-10-06/2025-10-12,11,FT,domingo,proba_cal_sexdom,1.0,0.0,1.0,no_candidate,FT|domingo,1603.0,-133.5,0.0,1603.0,-133.5,0.0
2025-10-06/2025-10-12,11,FH,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,no_data,FH|segunda-feira,1603.0,-133.5,0.0,1603.0,-133.5,0.0
2025-10-06/2025-10-12,11,FH,terça-feira,proba_raw_terca,1.0,0.0,1.0,too_few_weeks,FH|terça-feira,1603.0,-133.5,0.0,1603.0,-133.5,0.0
2025-10-06/2025-10-12,11,FH,quarta-feira,proba_raw_quarta,1.0,0.0,1.0,too_few_weeks,FH|quarta-feira,1603.0,-133.5,0.0,1603.0,-133.5,0.0
2025-10-06/2025-10-12,11,FH,quinta-feira,proba_raw_segqui,0.05,0.07,1.0,ok,FH|quinta-feira,1603.0,-133.5,0.0,1603.0,-133.5,0.0
2025-10-06/2025-10-12,11,FH,sexta-feira,proba_cal_sexdom,1.0,0.0,1.0,no_candidate,FH|sexta-feira,1603.0,-133.5,0.0,1603.0,-133.5,0.0
2025-10-06/2025-10-12,11,FH,sábado,proba_cal_sexdom,1.0,0.0,1.0,no_candidate,FH|sábado,1603.0,-133.5,0.0,1603.0,-133.5,0.0
2025-10-06/2025-10-12,11,FH,domingo,proba_cal_sexdom,1.0,0.0,1.0,too_few_weeks,FH|domingo,1603.0,-133.5,0.0,1603.0,-133.5,0.0
2025-10-13/2025-10-19,12,FT,segunda-feira,proba_raw_segunda,1.0,0.0,0.8382449746131897,too_few_weeks,FT|segunda-feira,1811.6000000000001,-191.4,0.0,1609.9999445796018,-163.86929467916488,0.0
2025-10-13/2025-10-19,12,FT,terça-feira,proba_raw_terca,1.0,0.0,0.8382449746131897,too_few_weeks,FT|terça-feira,1811.6000000000001,-191.4,0.0,1609.9999445796018,-163.86929467916488,0.0
2025-10-13/2025-10-19,12,FT,quarta-feira,proba_raw_quarta,1.0,0.0,0.8382449746131897,too_few_weeks,FT|quarta-feira,1811.6000000000001,-191.4,0.0,1609.9999445796018,-163.86929467916488,0.0
2025-10-13/2025-10-19,12,FT,quinta-feira,proba_raw_segqui,0.19,0.01,0.8382449746131897,ok,FT|quinta-feira,1811.6000000000001,-191.4,0.0,1609.9999445796018,-163.86929467916488,0.0
2025-10-13/2025-10-19,12,FT,sexta-feira,proba_cal_sexdom,1.0,0.0,0.8382449746131897,no_candidate,FT|sexta-feira,1811.6000000000001,-191.4,0.0,1609.9999445796018,-163.86929467916488,0.0
2025-10-13/2025-10-19,12,FT,sábado,proba_cal_sexdom,1.0,0.0,0.8382449746131897,no_candidate,FT|sábado,1811.6000000000001,-191.4,0.0,1609.9999445796018,-163.86929467916488,0.0
2025-10-13/2025-10-19,12,FT,domingo,proba_cal_sexdom,1.0,0.0,0.8382449746131897,no_candidate,FT|domingo,1811.6000000000001,-191.4,0.0,1609.9999445796018,-163.86929467916488,0.0
2025-10-13/2025-10-19,12,FH,segunda-feira,proba_raw_segunda,1.0,0.0,0.8382449746131897,no_data,FH|segunda-feira,1811.6000000000001,-191.4,0.0,1609.9999445796018,-163.86929467916488,0.0
2025-10-13/2025-10-19,12,FH,terça-feira,proba_raw_terca,1.0,0.0,0.8382449746131897,too_few_weeks,FH|terça-feira,1811.6000000000001,-191.4,0.0,1609.9999445796018,-163.86929467916488,0.0
2025-10-13/2025-10-19,12,FH,quarta-feira,proba_raw_quarta,1.0,0.0,0.8382449746131897,too_few_weeks,FH|quarta-feira,1811.6000000000001,-191.4,0.0,1609.9999445796018,-163.86929467916488,0.0
2025-10-13/2025-10-19,12,FH,quinta-feira,proba_raw_segqui,0.29,0.07,0.8382449746131897,ok,FH|quinta-feira,1811.6000000000001,-191.4,0.0,1609.9999445796018,-163.86929467916488,0.0
2025-10-13/2025-10-19,12,FH,sexta-feira,proba_cal_sexdom,1.0,0.0,0.8382449746131897,no_candidate,FH|sexta-feira,1811.6000000000001,-191.4,0.0,1609.9999445796018,-163.86929467916488,0.0
2025-10-13/2025-10-19,12,FH,sábado,proba_cal_sexdom,0.37,0.04,0.8382449746131897,ok,FH|sábado,1811.6000000000001,-191.4,0.0,1609.9999445796018,-163.86929467916488,0.0
2025-10-13/2025-10-19,12,FH,domingo,proba_cal_sexdom,1.0,0.0,0.8382449746131897,no_candidate,FH|domingo,1811.6000000000001,-191.4,0.0,1609.9999445796018,-163.86929467916488,0.0
2025-10-20/2025-10-26,13,FT,segunda-feira,proba_raw_segunda,1.0,0.0,0.5707145929336548,too_few_weeks,FT|segunda-feira,2716.0000000000005,-51.749999999999986,0.0,1609.9998606443407,-29.534480184316628,0.0
2025-10-20/2025-10-26,13,FT,terça-feira,proba_raw_terca,1.0,0.0,0.5707145929336548,too_few_weeks,FT|terça-feira,2716.0000000000005,-51.749999999999986,0.0,1609.9998606443407,-29.534480184316628,0.0
