week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,12,0.8459588885307312,84,5488.036629199982,770.1533407568932,0.14033312690720182
2025-10-20/2025-10-26,13,0.5141497254371643,76,2910.408259153366,-241.07248291373253,-0.08283115681641867
2025-10-27/2025-11-02,14,1.0,46,2392.0,644.0,0.2692307692307692
2025-11-03/2025-11-09,15,0.8490098714828491,111,3904.1731383800507,152.981429874897,0.039184079305041586
2025-11-10/2025-11-16,16,0.630630612373352,120,4995.92779481411,-190.06305718421936,-0.038043595702385705
2025-11-17/2025-11-23,17,1.0,82,3489.0,907.5,0.26010318142734307
2025-11-24/2025-11-30,18,0.7496894001960754,122,6160.242593467236,633.5356697142124,0.10284264947391182
2025-12-01/2025-12-07,19,1.0,104,5170.0,-582.0,-0.11257253384912959
2025-12-08/2025-12-14,20,0.9192876815795898,109,4439.856318473816,1414.3324255943298,0.31855364771815436
2025-12-15/2025-12-21,21,0.9898508787155151,60,3311.7549954652786,66.29971063137049,0.020019509511468508
2025-12-22/2025-12-28,22,1.0,29,1207.0,310.0,0.25683512841756423
2025-12-29/2026-01-04,23,1.0,24,1380.0,103.5,0.075
2026-01-05/2026-01-11,24,1.0,67,3613.0,68.5,0.01895931358981456
2026-01-12/2026-01-18,25,0.9006864428520203,97,6464.504952728748,-77.71578818559647,-0.012021924146379015
