week,alpha_global,rule_key,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-10-06/2025-10-12,1.0,FH|quinta-feira,16,1937.0000000000002,-162.00000000000006,-0.0836344863190501
2025-10-06/2025-10-12,1.0,FT|sábado,30,1371.0,-152.0,-0.11086797957695113
2025-10-13/2025-10-19,0.7349397540092468,FH|quinta-feira,25,2640.20480632782,433.2891521751881,0.16411194735223467
2025-10-13/2025-10-19,0.7349397540092468,FT|quinta-feira,36,608.5301163196564,245.10240796208382,0.4027777777777778
2025-10-20/2025-10-26,0.6751112341880798,FH|quinta-feira,19,885.0708280205727,139.74802547693253,0.15789473684210525
2025-10-20/2025-10-26,0.6751112341880798,FH|sábado,32,1963.3070063591003,25.0,0.012733617268733647
2025-10-20/2025-10-26,0.6751112341880798,FT|quinta-feira,61,2819.9605095386505,-440.8267515897751,-0.15632373222910662
2025-10-27/2025-11-02,0.7307656407356262,FH|sábado,27,1360.9935594797134,50.42282921075821,0.03704854358754943
2025-10-27/2025-11-02,0.7307656407356262,FT|quarta-feira,16,268.92175579071045,100.84565842151642,0.375
2025-10-27/2025-11-02,0.7307656407356262,FT|sábado,40,1344.6087789535522,134.46087789535522,0.1
2025-11-03/2025-11-09,1.0,FH|sexta-feira,73,1679.0,-172.5,-0.10273972602739725
2025-11-03/2025-11-09,1.0,FT|quarta-feira,24,552.0,34.5,0.0625
2025-11-03/2025-11-09,1.0,FT|terça-feira,11,740.0,44.0,0.05945945945945946
2025-11-10/2025-11-16,1.0,FH|quarta-feira,5,549.0,-416.0,-0.7577413479052824
2025-11-10/2025-11-16,1.0,FT|domingo,9,207.0,0.0,0.0
2025-11-10/2025-11-16,1.0,FT|quarta-feira,29,667.0,115.0,0.1724137931034483
2025-11-10/2025-11-16,1.0,FT|sábado,11,253.0,-34.5,-0.13636363636363635
2025-11-17/2025-11-23,1.0,FH|domingo,36,828.0,-34.5,-0.041666666666666664
2025-11-17/2025-11-23,1.0,FT|domingo,14,322.0,-69.0,-0.21428571428571427
2025-11-17/2025-11-23,1.0,FT|quarta-feira,7,685.0,48.500000000000014,0.07080291970802922
2025-11-17/2025-11-23,1.0,FT|segunda-feira,15,669.0,297.0,0.4439461883408072
2025-11-24/2025-11-30,1.0,FH|quinta-feira,16,1366.0,-32.0,-0.02342606149341142
2025-11-24/2025-11-30,1.0,FT|quarta-feira,16,2090.0,116.99999999999991,0.055980861244019096
2025-11-24/2025-11-30,1.0,FT|segunda-feira,20,919.0,183.0,0.19912948857453755
2025-12-01/2025-12-07,1.0,FH|quinta-feira,12,803.0,-282.0,-0.35118306351183065
2025-12-01/2025-12-07,1.0,FH|terça-feira,14,1107.0,644.0,0.5817524841915086
2025-12-01/2025-12-07,1.0,FT|quarta-feira,22,2324.0,-495.5,-0.21320998278829603
2025-12-01/2025-12-07,1.0,FT|segunda-feira,7,322.0,92.0,0.2857142857142857
2025-12-01/2025-12-07,1.0,FT|terça-feira,37,851.0,-69.0,-0.08108108108108109
2025-12-08/2025-12-14,1.0,FH|quinta-feira,5,296.0,27.0,0.09121621621621621
2025-12-08/2025-12-14,1.0,FH|terça-feira,11,253.0,92.0,0.36363636363636365
2025-12-08/2025-12-14,1.0,FT|quarta-feira,8,1083.0000000000002,589.0000000000001,0.543859649122807
2025-12-08/2025-12-14,1.0,FT|segunda-feira,17,761.0,416.0,0.5466491458607096
2025-12-08/2025-12-14,1.0,FT|sábado,2,46.0,0.0,0.0
2025-12-15/2025-12-21,1.0,FH|quinta-feira,11,759.0,-69.0,-0.09090909090909091
2025-12-15/2025-12-21,1.0,FH|terça-feira,6,138.0,-11.5,-0.08333333333333333
2025-12-15/2025-12-21,1.0,FT|quarta-feira,11,1201.0,-163.00000000000003,-0.13572023313905082
2025-12-15/2025-12-21,1.0,FT|segunda-feira,6,276.0,46.0,0.16666666666666666
2025-12-22/2025-12-28,1.0,FH|quinta-feira,7,444.0,-51.0,-0.11486486486486487
2025-12-22/2025-12-28,1.0,FH|sábado,3,69.0,0.0,0.0
2025-12-22/2025-12-28,1.0,FH|terça-feira,3,69.0,23.0,0.3333333333333333
2025-12-22/2025-12-28,1.0,FT|quarta-feira,1,161.00000000000003,-161.00000000000003,-1.0
2025-12-22/2025-12-28,1.0,FT|segunda-feira,3,133.0,133.0,1.0
2025-12-29/2026-01-04,1.0,FH|sábado,1,23.0,-23.0,-1.0
2025-12-29/2026-01-04,1.0,FH|terça-feira,4,255.0,132.0,0.5176470588235295
2025-12-29/2026-01-04,1.0,FT|quarta-feira,1,23.0,0.0,0.0
2025-12-29/2026-01-04,1.0,FT|segunda-feira,1,69.0,69.0,1.0
2025-12-29/2026-01-04,1.0,FT|terça-feira,10,230.0,23.0,0.1
2026-01-05/2026-01-11,1.0,FH|quinta-feira,6,404.0,10.0,0.024752475247524754
2026-01-05/2026-01-11,1.0,FH|terça-feira,16,991.0,-230.5,-0.2325933400605449
2026-01-05/2026-01-11,1.0,FT|quarta-feira,1,23.0,-23.0,-1.0
2026-01-05/2026-01-11,1.0,FT|segunda-feira,2,138.0,69.0,0.5
2026-01-05/2026-01-11,1.0,FT|sábado,2,46.0,0.0,0.0
2026-01-05/2026-01-11,1.0,FT|terça-feira,26,1196.0,-115.0,-0.09615384615384616
2026-01-12/2026-01-18,1.0,FH|terça-feira,4,379.0,-35.5,-0.09366754617414248
2026-01-12/2026-01-18,1.0,FT|segunda-feira,4,276.0,-276.0,-1.0
