week,train_weeks,alpha_global,alpha_regime,alpha_effective,train_global_p80_exp_at1,train_global_var10_at1,train_global_p_dd_at1,train_global_p80_exp_at_alpha,train_global_var10_at_alpha,train_global_p_dd_at_alpha,train_global_n_days
2025-09-29/2025-10-05,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-06/2025-10-12,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-13/2025-10-19,12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-10-20/2025-10-26,13,0.5941285490989685,1.0,0.5941285490989685,2605.6000000000004,-126.54599999999999,0.0,1609.9999256253245,-75.18459137427806,0.0,8
2025-10-27/2025-11-02,14,1.0,1.0,1.0,1523.0,-212.4582,0.0,1523.0,-212.4582,0.0,15
2025-11-03/2025-11-09,15,1.0,1.0,1.0,1015.6000000000001,-112.6006,0.0,1015.6000000000001,-112.6006,0.0,17
2025-11-10/2025-11-16,16,0.9976124167442322,1.0,0.9976124167442322,1613.8000000000002,-171.50660000000002,0.03571428571428571,1609.99992249012,-171.12361588772538,0.03571428571428571,28
2025-11-17/2025-11-23,17,1.0,1.0,1.0,1322.4000000000003,-161.00000000000003,0.0,1322.4000000000003,-161.00000000000003,0.0,24
2025-11-24/2025-11-30,18,1.0,1.0,1.0,1310.0000000000002,-161.00000000000003,0.0,1310.0000000000002,-161.00000000000003,0.0,27
2025-12-01/2025-12-07,19,1.0,1.0,1.0,1310.0000000000002,-180.412,0.0,1310.0000000000002,-180.412,0.0,41
2025-12-08/2025-12-14,20,1.0,1.0,1.0,994.0000000000001,-161.00000000000003,0.0,994.0000000000001,-161.00000000000003,0.0,41
2025-12-15/2025-12-21,21,1.0,1.0,1.0,1279.8000000000002,-208.96519999999998,0.0,1279.8000000000002,-208.96519999999998,0.0,49
2025-12-22/2025-12-28,22,1.0,1.0,1.0,1224.0000000000002,-200.90350000000004,0.027777777777777776,1224.0000000000002,-200.90350000000004,0.027777777777777776,36
2025-12-29/2026-01-04,23,1.0,1.0,1.0,1303.8000000000002,-209.65189999999998,0.0,1303.8000000000002,-209.65189999999998,0.0,39
2026-01-05/2026-01-11,24,1.0,1.0,1.0,1335.6,-163.8357,0.0,1335.6,-163.8357,0.0,42
2026-01-12/2026-01-18,25,1.0,1.0,1.0,1102.6000000000001,-161.00000000000003,0.0,1102.6000000000001,-161.00000000000003,0.0,62
