week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,16,1937.0,-162.0,-0.08363448631905007
2025-10-13/2025-10-19,12,0.712066113948822,93,5853.276351213455,1022.5128893554211,0.17469069082026883
2025-10-20/2025-10-26,13,0.5707145929336548,80,3135.9652460813522,-250.65514838695526,-0.07992918566306485
2025-10-27/2025-11-02,14,1.0,42,2879.0,897.0,0.3115665161514415
2025-11-03/2025-11-09,15,0.9907910227775574,162,6754.75321906805,109.41145142912865,0.01619769781082011
2025-11-10/2025-11-16,16,0.5864047408103943,130,5561.22819852829,-515.4162157773972,-0.09268028524954176
2025-11-17/2025-11-23,17,1.0,118,4068.0,610.0,0.14995083579154375
2025-11-24/2025-11-30,18,0.8122761845588684,177,7969.540945291519,1033.476442039013,0.12967829002115872
2025-12-01/2025-12-07,19,0.750732421875,123,6339.5146484375,-403.80322265625006,-0.06369623623407439
2025-12-08/2025-12-14,20,0.6673204302787781,112,4259.202787935734,1073.4410496652126,0.25202863143914
2025-12-15/2025-12-21,21,0.7548014521598816,62,4109.273677945137,132.78455069661138,0.0323133870127168
2025-12-22/2025-12-28,22,0.9893782734870911,30,1837.8306168317795,59.73289912939072,0.032501852228560515
2025-12-29/2026-01-04,23,0.899260401725769,23,1384.5644081830978,-39.365978479385376,-0.028432031219871957
2026-01-05/2026-01-11,24,0.838994562625885,64,3665.968741774559,-84.6640627682209,-0.02309459483477161
2026-01-12/2026-01-18,25,1.0,51,3397.0,-391.5,-0.11524874889608477
