week,train_weeks,alpha_global,train_global_p80_exp_at1,train_global_var10_at1,train_global_p_dd_at1,train_global_p80_exp_at_alpha,train_global_var10_at_alpha,train_global_p_dd_at_alpha,train_global_n_days
2025-09-29/2025-10-05,10,1.0,322.00000000000006,98.50000000000003,0.0,322.00000000000006,98.50000000000003,0.0,6
2025-10-06/2025-10-12,11,0.6947270631790161,2158.0,-56.500000000000014,0.0,1609.9999105930328,-42.08511018753052,0.0,21
2025-10-13/2025-10-19,12,0.9912008047103882,1623.6000000000004,-56.3,0.0,1609.9999637603762,-56.64404853582382,0.0,22
2025-10-20/2025-10-26,13,0.8456099033355713,1901.8000000000002,-4.599999999999994,0.0,1609.9998888015748,-3.8898055553436226,0.0,20
2025-10-27/2025-11-02,14,0.8259798288345337,1929.4000000000003,-70.602525,0.0,1609.9999283313755,-58.31626151478589,0.0,22
2025-11-03/2025-11-09,15,1.0,1368.2,-72.7789,0.0,1368.2,-72.7789,0.0,47
2025-11-10/2025-11-16,16,0.937158465385437,1715.800000000001,-138.0,0.0,1609.9999923229227,-129.3278682231903,0.0,49
2025-11-17/2025-11-23,17,1.0,1446.2000000000005,-133.9,0.0,1446.2000000000005,-133.9,0.0,52
2025-11-24/2025-11-30,18,0.7216494679450989,2110.0,-203.0,0.0,1609.9999629855156,-138.97937762737274,0.0,61
2025-12-01/2025-12-07,19,1.0,1419.4000000000003,-145.61475999999996,0.0,1419.4000000000003,-145.61475999999996,0.0,62
2025-12-08/2025-12-14,20,0.9124310612678528,1753.000000000001,-184.20000000000005,0.0,1609.9999230504043,-169.1999923050404,0.0,59
2025-12-15/2025-12-21,21,0.8566956520080566,1854.0000000000002,-158.45000000000005,0.0,1609.9999997138978,-138.67879998683932,0.0,68
2025-12-22/2025-12-28,22,1.0,1357.4,-184.10000000000005,0.0,1357.4,-184.10000000000005,0.0,100
2025-12-29/2026-01-04,23,1.0,1590.6000000000001,-158.84999999999997,0.0,1590.6000000000001,-158.84999999999997,0.0,108
2026-01-05/2026-01-11,24,1.0,1581.4,-138.0,0.0,1581.4,-138.0,0.0,113
2026-01-12/2026-01-18,25,1.0,1495.8,-125.40000000000002,0.0,1495.8,-125.40000000000002,0.0,120
