week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,3,483.0000000000001,-80.50000000000001,-0.16666666666666666
2025-10-06/2025-10-12,11,0.6947270631790161,90,6694.914532184601,-379.4361450076103,-0.056675278404756196
2025-10-13/2025-10-19,12,0.9912008047103882,71,6168.714175701141,1428.7618734836578,0.23161421210138392
2025-10-20/2025-10-26,13,0.8456099033355713,114,8705.101388454437,-344.42958331108093,-0.03956640686206106
2025-10-27/2025-11-02,14,0.8259798288345337,45,3485.669832468033,-50.50739181041712,-0.014490010310200635
2025-11-03/2025-11-09,15,1.0,124,6864.0,-68.5,-0.00997960372960373
2025-11-10/2025-11-16,16,0.937158465385437,50,4761.718559622765,43.655736446380814,0.009168063147738688
2025-11-17/2025-11-23,17,1.0,71,4719.0,563.5000000000001,0.11941089213816489
2025-11-24/2025-11-30,18,0.7216494679450989,221,8821.927673637867,1483.0360521376133,0.16810793592984186
2025-12-01/2025-12-07,19,1.0,79,7232.0,-598.0,-0.08268805309734513
2025-12-08/2025-12-14,20,0.9124310612678528,94,4669.689963102341,1744.9647475481033,0.37367892972252575
2025-12-15/2025-12-21,21,0.8566956520080566,56,3336.5199995040894,313.039999961853,0.09382230587809469
2025-12-22/2025-12-28,22,1.0,24,1012.0,-184.00000000000003,-0.18181818181818185
2025-12-29/2026-01-04,23,1.0,16,1012.0,46.0,0.045454545454545456
2026-01-05/2026-01-11,24,1.0,75,3592.0,402.5,0.11205456570155901
2026-01-12/2026-01-18,25,1.0,49,3145.0,-391.5,-0.12448330683624802
