week,alpha_global,rule_key,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,1.0,FT|sexta-feira,1,161.00000000000003,161.00000000000003,1.0
2025-09-29/2025-10-05,1.0,FT|sábado,2,322.00000000000006,-241.50000000000006,-0.75
2025-10-06/2025-10-12,0.6947270631790161,FH|quinta-feira,14,1364.6595145463946,-52.92552858591078,-0.03878295503146288
2025-10-06/2025-10-12,0.6947270631790161,FH|sábado,15,1677.7658575773241,-111.85105717182161,-0.06666666666666667
2025-10-06/2025-10-12,0.6947270631790161,FT|domingo,5,559.2552858591081,-167.7765857577324,-0.29999999999999993
2025-10-06/2025-10-12,0.6947270631790161,FT|quinta-feira,24,1442.3829064369202,109.95744490623474,0.07623318635816315
2025-10-06/2025-10-12,0.6947270631790161,FT|sexta-feira,2,223.70211434364322,0.0,0.0
2025-10-06/2025-10-12,0.6947270631790161,FT|sábado,30,1427.1488534212112,-156.84041839838028,-0.10989772932402736
2025-10-13/2025-10-19,0.9912008047103882,FH|quinta-feira,25,3161.416625142098,617.4583238959312,0.19531064617849223
2025-10-13/2025-10-19,0.9912008047103882,FT|domingo,1,22.797618508338928,-22.797618508338928,-1.0
2025-10-13/2025-10-19,0.9912008047103882,FT|quinta-feira,36,1632.833295583725,669.7261737585068,0.41016200218962645
2025-10-13/2025-10-19,0.9912008047103882,FT|sábado,9,1351.6666364669802,164.37499433755877,0.12160912306543736
2025-10-20/2025-10-26,0.8456099033355713,FH|quinta-feira,7,911.572777748108,178.0,0.19526691049256648
2025-10-20/2025-10-26,0.8456099033355713,FH|sábado,32,2433.8833332061768,25.0,0.010271650928751491
2025-10-20/2025-10-26,0.8456099033355713,FT|quinta-feira,61,3514.783749818802,-547.4295833110809,-0.15575057308697943
2025-10-20/2025-10-26,0.8456099033355713,FT|sexta-feira,3,347.286388874054,0.0,0.0
2025-10-20/2025-10-26,0.8456099033355713,FT|sábado,11,1497.575138807297,0.0,0.0
2025-10-27/2025-11-02,0.8259798288345337,FH|quarta-feira,12,1213.9482573270798,-182.5,-0.15033589685431556
2025-10-27/2025-11-02,0.8259798288345337,FH|sábado,27,1531.8078129291534,56.992608189582825,0.03720610882679885
2025-10-27/2025-11-02,0.8259798288345337,FT|quarta-feira,2,265.9655048847199,132.98275244235995,0.5
2025-10-27/2025-11-02,0.8259798288345337,FT|sábado,4,473.9482573270799,-57.98275244235995,-0.12233983677746715
2025-11-03/2025-11-09,1.0,FH|quarta-feira,12,1501.0,333.0,0.22185209860093272
2025-11-03/2025-11-09,1.0,FH|quinta-feira,1,126.0,126.0,1.0
2025-11-03/2025-11-09,1.0,FH|sexta-feira,73,1679.0,-172.5,-0.10273972602739725
2025-11-03/2025-11-09,1.0,FH|sábado,17,782.0,-23.0,-0.029411764705882353
2025-11-03/2025-11-09,1.0,FH|terça-feira,3,303.0,78.0,0.25742574257425743
2025-11-03/2025-11-09,1.0,FT|quarta-feira,5,615.0000000000001,-75.0,-0.1219512195121951
2025-11-03/2025-11-09,1.0,FT|sexta-feira,3,372.00000000000006,111.00000000000003,0.29838709677419356
2025-11-03/2025-11-09,1.0,FT|sábado,10,1486.0000000000002,-446.0000000000001,-0.3001345895020189
2025-11-10/2025-11-16,0.937158465385437,FH|quarta-feira,5,422.8743152618408,-301.7650258541107,-0.7136045273103426
2025-11-10/2025-11-16,0.937158465385437,FH|quinta-feira,1,83.0,0.0,0.0
2025-11-10/2025-11-16,0.937158465385437,FH|sábado,9,387.9836046695709,0.0,0.0
2025-11-10/2025-11-16,0.937158465385437,FH|terça-feira,4,536.7650258541107,-473.7650258541108,-0.8826302069518163
2025-11-10/2025-11-16,0.937158465385437,FT|domingo,9,775.9672093391418,0.0,0.0
2025-11-10/2025-11-16,0.937158465385437,FT|quarta-feira,9,1341.1775904893877,912.2950775623324,0.6802194459791423
2025-11-10/2025-11-16,0.937158465385437,FT|sexta-feira,2,301.7650258541108,0.0,0.0
2025-11-10/2025-11-16,0.937158465385437,FT|sábado,11,912.185788154602,-93.1092894077301,-0.10207272533383238
2025-11-17/2025-11-23,1.0,FH|domingo,3,483.0000000000001,0.0,0.0
2025-11-17/2025-11-23,1.0,FH|quarta-feira,6,138.0,57.5,0.4166666666666667
2025-11-17/2025-11-23,1.0,FH|quinta-feira,1,161.00000000000003,161.00000000000003,1.0
2025-11-17/2025-11-23,1.0,FH|sábado,15,690.0,-115.0,-0.16666666666666666
2025-11-17/2025-11-23,1.0,FH|terça-feira,2,188.0,138.0,0.7340425531914894
2025-11-17/2025-11-23,1.0,FT|quarta-feira,7,685.0,48.500000000000014,0.07080291970802922
2025-11-17/2025-11-23,1.0,FT|segunda-feira,6,902.0000000000001,273.50000000000006,0.3032150776053215
2025-11-17/2025-11-23,1.0,FT|sábado,11,1012.0,0.0,0.0
2025-11-17/2025-11-23,1.0,FT|terça-feira,20,460.0,0.0,0.0
