test_week,bet_type,dow_pt,rule_key,score_col,cutoff,stake_frac,alpha_effective,cap_max,cap_status
2025-10-20/2025-10-26,FT,quinta-feira,FT|quinta-feira,proba_cal_segqui,0.11,0.01,0.8616388440132141,inf,no_candidate
2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,proba_cal_segqui,0.19,0.03,0.8616388440132141,inf,too_few_bets_for_capopt
2025-11-03/2025-11-09,FT,quarta-feira,FT|quarta-feira,proba_raw_quarta,0.29,0.05,0.6767485737800598,inf,no_candidate
2025-11-03/2025-11-09,FH,quarta-feira,FH|quarta-feira,proba_raw_quarta,0.05,0.02,0.6767485737800598,inf,too_few_bets_for_capopt
2025-11-10/2025-11-16,FT,quarta-feira,FT|quarta-feira,proba_raw_quarta,0.29,0.05,0.6215238571166992,inf,no_candidate
2025-11-10/2025-11-16,FH,quarta-feira,FH|quarta-feira,proba_raw_quarta,0.05,0.02,0.6215238571166992,inf,no_candidate
2025-11-17/2025-11-23,FT,quarta-feira,FT|quarta-feira,proba_raw_quarta,0.29,0.05,0.6001525521278381,865.0000000000002,ok
2025-11-17/2025-11-23,FH,quarta-feira,FH|quarta-feira,proba_raw_quarta,0.05,0.02,0.6001525521278381,inf,ok
2025-11-24/2025-11-30,FT,quarta-feira,FT|quarta-feira,proba_raw_quarta,0.29,0.05,0.6001525521278381,818.1999999999999,ok
2025-11-24/2025-11-30,FH,quarta-feira,FH|quarta-feira,proba_raw_quarta,0.05,0.02,0.6001525521278381,inf,ok
2025-12-01/2025-12-07,FT,quarta-feira,FT|quarta-feira,proba_raw_quarta,0.29,0.05,0.6830205917358398,811.9000000000001,ok
2025-12-08/2025-12-14,FT,segunda-feira,FT|segunda-feira,proba_raw_segunda,0.05,0.02,0.7293199300765991,612.5999999999999,ok
2025-12-08/2025-12-14,FT,quarta-feira,FT|quarta-feira,proba_raw_quarta,0.29,0.05,0.7293199300765991,753.5999999999999,ok
2025-12-15/2025-12-21,FT,segunda-feira,FT|segunda-feira,proba_raw_segunda,0.05,0.02,0.925817370414734,603.6000000000004,ok
2025-12-15/2025-12-21,FT,terça-feira,FT|terça-feira,proba_raw_terca,0.23,0.02,0.925817370414734,273.8,ok
2025-12-15/2025-12-21,FT,quarta-feira,FT|quarta-feira,proba_raw_quarta,0.29,0.05,0.925817370414734,698.0,ok
2025-12-15/2025-12-21,FH,terça-feira,FH|terça-feira,proba_raw_terca,0.51,0.01,0.925817370414734,113.80000000000001,ok
2025-12-22/2025-12-28,FT,segunda-feira,FT|segunda-feira,proba_raw_segunda,0.05,0.02,0.9492154717445374,576.0000000000002,ok
2025-12-22/2025-12-28,FT,terça-feira,FT|terça-feira,proba_raw_terca,0.23,0.02,0.9492154717445374,726.6000000000003,ok
2025-12-22/2025-12-28,FT,quarta-feira,FT|quarta-feira,proba_raw_quarta,0.29,0.05,0.9492154717445374,635.1,ok
2025-12-22/2025-12-28,FH,terça-feira,FH|terça-feira,proba_raw_terca,0.51,0.01,0.9492154717445374,115.99999999999999,ok
2025-12-29/2026-01-04,FT,segunda-feira,FT|segunda-feira,proba_raw_segunda,0.05,0.02,0.9518375992774964,574.0,ok
2025-12-29/2026-01-04,FT,terça-feira,FT|terça-feira,proba_raw_terca,0.23,0.02,0.9518375992774964,495.20000000000005,ok
2025-12-29/2026-01-04,FT,quarta-feira,FT|quarta-feira,proba_raw_quarta,0.29,0.05,0.9518375992774964,633.9000000000001,ok
2025-12-29/2026-01-04,FH,terça-feira,FH|terça-feira,proba_raw_terca,0.51,0.01,0.9518375992774964,118.59999999999997,ok
2026-01-05/2026-01-11,FT,segunda-feira,FT|segunda-feira,proba_raw_segunda,0.05,0.02,1.0,580.0000000000002,ok
2026-01-05/2026-01-11,FT,terça-feira,FT|terça-feira,proba_raw_terca,0.23,0.02,1.0,inf,ok
2026-01-05/2026-01-11,FH,terça-feira,FH|terça-feira,proba_raw_terca,0.51,0.01,1.0,115.99999999999999,ok
2026-01-12/2026-01-18,FT,segunda-feira,FT|segunda-feira,proba_raw_segunda,0.05,0.02,1.0,633.0,ok
2026-01-12/2026-01-18,FT,terça-feira,FT|terça-feira,proba_raw_terca,0.25,0.02,1.0,inf,ok
2026-01-12/2026-01-18,FT,quarta-feira,FT|quarta-feira,proba_raw_quarta,0.33,0.01,1.0,632.0,ok
2026-01-12/2026-01-18,FH,terça-feira,FH|terça-feira,proba_raw_terca,0.51,0.01,1.0,111.6,ok
