week,rule_key,allowed_regions,n_regions
2025-10-20/2025-10-26,FH|quinta-feira,desconhecida,1
2025-10-27/2025-11-02,FH|quarta-feira,desconhecida,1
2025-10-27/2025-11-02,FH|quinta-feira,desconhecida,1
2025-11-03/2025-11-09,FT|quarta-feira,desconhecida,1
2025-11-03/2025-11-09,FH|quarta-feira,desconhecida,1
2025-11-03/2025-11-09,FH|quinta-feira,desconhecida,1
2025-11-10/2025-11-16,FT|quarta-feira,desconhecida,1
2025-11-10/2025-11-16,FH|quarta-feira,desconhecida,1
2025-11-17/2025-11-23,FT|quarta-feira,desconhecida,1
2025-11-17/2025-11-23,FH|quarta-feira,desconhecida,1
2025-11-24/2025-11-30,FT|quarta-feira,desconhecida,1
2025-11-24/2025-11-30,FH|quarta-feira,desconhecida,1
2025-12-01/2025-12-07,FT|quarta-feira,desconhecida,1
2025-12-08/2025-12-14,FT|segunda-feira,desconhecida,1
2025-12-08/2025-12-14,FT|quarta-feira,desconhecida,1
2025-12-15/2025-12-21,FT|segunda-feira,desconhecida,1
2025-12-15/2025-12-21,FT|quarta-feira,desconhecida,1
2025-12-15/2025-12-21,FH|terça-feira,desconhecida,1
2025-12-22/2025-12-28,FT|segunda-feira,desconhecida,1
2025-12-22/2025-12-28,FT|terça-feira,desconhecida,1
2025-12-22/2025-12-28,FT|quarta-feira,desconhecida,1
2025-12-22/2025-12-28,FH|terça-feira,desconhecida,1
2025-12-29/2026-01-04,FT|segunda-feira,desconhecida,1
2025-12-29/2026-01-04,FT|terça-feira,desconhecida,1
2025-12-29/2026-01-04,FT|quarta-feira,desconhecida,1
2025-12-29/2026-01-04,FH|terça-feira,desconhecida,1
2026-01-05/2026-01-11,FT|segunda-feira,desconhecida,1
2026-01-05/2026-01-11,FT|terça-feira,desconhecida,1
2026-01-05/2026-01-11,FH|terça-feira,desconhecida,1
2026-01-12/2026-01-18,FT|segunda-feira,desconhecida,1
2026-01-12/2026-01-18,FT|terça-feira,desconhecida,1
2026-01-12/2026-01-18,FT|quarta-feira,desconhecida,1
2026-01-12/2026-01-18,FT|sexta-feira,desconhecida,1
2026-01-19/2026-01-25,FT|segunda-feira,desconhecida,1
2026-01-19/2026-01-25,FT|terça-feira,desconhecida,1
2026-01-19/2026-01-25,FT|sexta-feira,desconhecida,1
2026-01-19/2026-01-25,FH|quarta-feira,desconhecida,1
2026-01-19/2026-01-25,FH|sábado,desconhecida,1
