week,rule_key,blocked_regions,n_regions
2025-10-27/2025-11-02,FH|quinta-feira,europa_ocidental,1
2025-11-03/2025-11-09,FH|quinta-feira,europa_ocidental,1
2025-12-01/2025-12-07,FT|quarta-feira,desconhecida,1
2025-12-08/2025-12-14,FT|quarta-feira,"desconhecida,europa_ocidental",2
2025-12-15/2025-12-21,FT|quarta-feira,"desconhecida,europa_ocidental",2
2025-12-15/2025-12-21,FH|terça-feira,europa_ocidental,1
2025-12-22/2025-12-28,FT|terça-feira,europa_oriental,1
2025-12-22/2025-12-28,FT|quarta-feira,"desconhecida,europa_ocidental",2
2025-12-29/2026-01-04,FT|terça-feira,europa_oriental,1
2025-12-29/2026-01-04,FT|quarta-feira,"desconhecida,europa_ocidental",2
2025-12-29/2026-01-04,FH|terça-feira,europa_ocidental,1
2026-01-05/2026-01-11,FT|terça-feira,europa_oriental,1
2026-01-05/2026-01-11,FH|terça-feira,europa_ocidental,1
2026-01-12/2026-01-18,FT|terça-feira,europa_oriental,1
2026-01-12/2026-01-18,FT|quarta-feira,europa_ocidental,1
2026-01-12/2026-01-18,FT|sexta-feira,desconhecida,1
2026-01-19/2026-01-25,FT|terça-feira,europa_oriental,1
2026-01-19/2026-01-25,FT|sexta-feira,europa_oriental,1
2026-01-19/2026-01-25,FH|sábado,desconhecida,1
