week,alpha_effective,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,1.0,19,874.0,60.05300000000001,0.06871052631578949
2025-10-27/2025-11-02,1.0,11,253.0,12.765,0.05045454545454546
2025-11-03/2025-11-09,0.9040834307670592,56,3638.263511776924,-196.81128887191426,-0.05409484173833023
2025-11-10/2025-11-16,0.6215238571166992,27,1672.5206995010376,121.8652902841568,0.07286324786324787
2025-11-17/2025-11-23,0.6001525521278381,18,908.4245567321777,239.10021646594996,0.2632031627657129
2025-11-24/2025-11-30,0.6001525521278381,45,2302.3649005293846,-172.15571515676385,-0.0747734275818659
2025-12-01/2025-12-07,0.6830205917358398,29,2055.9473609924316,-561.7307971277238,-0.2732223634639018
2025-12-08/2025-12-14,0.7293199300765991,33,1531.7538042068481,273.7313837131262,0.17870455615082742
2025-12-15/2025-12-21,1.0,29,1970.0,-199.76849999999996,-0.10140532994923857
2025-12-22/2025-12-28,1.0,12,704.0,215.961,0.3067627840909091
2025-12-29/2026-01-04,0.8243277072906494,11,682.5433416366577,282.93317464566235,0.41452777777777783
2026-01-05/2026-01-11,1.0,24,1426.0,-63.940000000000026,-0.044838709677419375
2026-01-12/2026-01-18,1.0,81,3893.0,88.54499999999996,0.022744669920369883
2026-01-19/2026-01-25,1.0,6,552.0,335.43199999999996,0.6076666666666666
