week,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2,variant
2025-12-01/2025-12-07,1.0,0,0.0,0.0,,baseline_fast
2025-12-08/2025-12-14,1.0,0,0.0,0.0,,baseline_fast
2025-12-15/2025-12-21,1.0,33,1104.0,143.23250000000002,0.12973958333333335,baseline_fast
2025-12-22/2025-12-28,1.0,11,253.0,38.41000000000002,0.15181818181818188,baseline_fast
2025-12-29/2026-01-04,1.0,10,598.0,130.84700000000004,0.21880769230769237,baseline_fast
2026-01-05/2026-01-11,1.0,28,1150.0,-12.006000000000014,-0.010440000000000012,baseline_fast
2026-01-12/2026-01-18,1.0,57,2568.0,236.10799999999995,0.09194236760124609,baseline_fast
2026-01-19/2026-01-25,1.0,0,0.0,0.0,,baseline_fast
2025-12-01/2025-12-07,1.0,45,1014.0,-194.386,-0.19170216962524655,regionseg_fast
2025-12-08/2025-12-14,1.0,0,0.0,0.0,,regionseg_fast
2025-12-15/2025-12-21,1.0,15,690.0,192.60200000000003,0.2791333333333334,regionseg_fast
2025-12-22/2025-12-28,1.0,11,253.0,38.41000000000002,0.15181818181818188,regionseg_fast
2025-12-29/2026-01-04,1.0,12,506.0,147.56800000000004,0.2916363636363637,regionseg_fast
2026-01-05/2026-01-11,1.0,28,1150.0,-12.006000000000014,-0.010440000000000012,regionseg_fast
2026-01-12/2026-01-18,1.0,57,2568.0,236.10799999999995,0.09194236760124609,regionseg_fast
2026-01-19/2026-01-25,1.0,0,0.0,0.0,,regionseg_fast
