week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,12,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,12,0.8616388440132141,76,2234.857808291912,-115.92676505470281,-0.05187209880851656
2025-10-27/2025-11-02,12,1.0,0,0.0,0.0,
2025-11-03/2025-11-09,12,0.6767485737800598,42,2192.956498026848,164.2760837472975,0.07491078090017192
2025-11-10/2025-11-16,12,0.6215238571166992,27,1672.5206995010376,121.8652902841568,0.07286324786324787
2025-11-17/2025-11-23,12,0.6001525521278381,19,936.0315741300583,239.10021646594996,0.2554403324355465
2025-11-24/2025-11-30,12,0.6001525521278381,46,2371.382444024086,-141.23585567113764,-0.05955844702614452
2025-12-01/2025-12-07,12,0.6830205917358398,30,2126.9473609924316,-500.74179712772366,-0.2354274517137453
2025-12-08/2025-12-14,12,0.7293199300765991,33,1808.3691800832748,398.1361037890912,0.22016306635504435
2025-12-15/2025-12-21,12,0.9258173704147339,48,2671.730348110199,-130.40661682283883,-0.048809797334180685
2025-12-22/2025-12-28,12,0.9492154717445374,18,1040.6060574054718,283.17713155186175,0.2721271220137842
2025-12-29/2026-01-04,12,0.9518375992774963,14,722.4447378516197,342.6139438599348,0.47424242424242424
2026-01-05/2026-01-11,12,1.0,29,1219.0,-15.22600000000002,-0.012490566037735866
2026-01-12/2026-01-18,12,1.0,73,2913.0,-125.52100000000002,-0.04308994164092002
