week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,12,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,12,1.0,0,0.0,0.0,
2025-10-27/2025-11-02,12,1.0,0,0.0,0.0,
2025-11-03/2025-11-09,12,1.0,0,0.0,0.0,
2025-11-10/2025-11-16,12,1.0,0,0.0,0.0,
2025-11-17/2025-11-23,12,1.0,29,667.0,109.82499999999999,0.1646551724137931
2025-11-24/2025-11-30,12,1.0,19,831.0,-59.54800000000001,-0.07165824308062577
2025-12-01/2025-12-07,12,1.0,31,943.0,109.20400000000001,0.1158048780487805
2025-12-08/2025-12-14,12,1.0,29,713.0,24.311000000000007,0.034096774193548396
2025-12-15/2025-12-21,12,1.0,7,322.0,-128.34,-0.3985714285714286
2025-12-22/2025-12-28,12,1.0,3,115.0,11.04,0.09599999999999999
2025-12-29/2026-01-04,12,1.0,1,46.0,40.342,0.877
2026-01-05/2026-01-11,12,1.0,1,46.0,50.14,1.09
2026-01-12/2026-01-18,12,1.0,39,1380.0,-205.13700000000009,-0.14865000000000006
2026-01-19/2026-01-25,12,1.0,6,414.0,138.069,0.33349999999999996
