week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,12,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,12,1.0,0,0.0,0.0,
2025-10-27/2025-11-02,12,1.0,0,0.0,0.0,
2025-11-03/2025-11-09,12,1.0,0,0.0,0.0,
2025-11-10/2025-11-16,12,1.0,0,0.0,0.0,
2025-11-17/2025-11-23,12,1.0,21,483.0,51.887999999999984,0.1074285714285714
2025-11-24/2025-11-30,12,1.0,90,2464.0,-50.992000000000004,-0.020694805194805196
2025-12-01/2025-12-07,12,1.0,70,1840.0,-88.665,-0.0481875
2025-12-08/2025-12-14,12,1.0,29,713.0,24.311000000000007,0.034096774193548396
2025-12-15/2025-12-21,12,1.0,31,874.0,-292.70950000000005,-0.3349078947368422
2025-12-22/2025-12-28,12,1.0,13,345.0,118.404,0.3432
2025-12-29/2026-01-04,12,1.0,5,138.0,32.637,0.23650000000000002
2026-01-05/2026-01-11,12,1.0,6,391.0,208.49499999999998,0.533235294117647
2026-01-12/2026-01-18,12,1.0,39,1265.0,-332.80999999999995,-0.26309090909090904
2026-01-19/2026-01-25,12,1.0,6,414.0,138.069,0.33349999999999996
