week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,12,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,12,1.0,0,0.0,0.0,
2025-10-27/2025-11-02,12,1.0,0,0.0,0.0,
2025-11-03/2025-11-09,12,1.0,0,0.0,0.0,
2025-11-10/2025-11-16,12,1.0,0,0.0,0.0,
2025-11-17/2025-11-23,12,1.0,18,799.0,195.67099999999996,0.24489486858573212
2025-11-24/2025-11-30,12,1.0,66,3010.0,-247.71150000000006,-0.08229617940199338
2025-12-01/2025-12-07,12,1.0,51,2271.0,55.389999999999986,0.02439013650374284
2025-12-08/2025-12-14,12,1.0,27,667.0,-22.654999999999994,-0.0339655172413793
2025-12-15/2025-12-21,12,0.9293771982192993,31,812.2756712436676,-272.037535002172,-0.33490789473684207
2025-12-22/2025-12-28,12,1.0,5,230.0,157.78,0.686
2025-12-29/2026-01-04,12,1.0,5,115.0,-30.705,-0.26699999999999996
2026-01-05/2026-01-11,12,1.0,26,712.0,188.94500000000002,0.265372191011236
2026-01-12/2026-01-18,12,1.0,27,989.0,-63.64099999999989,-0.06434883720930222
2026-01-19/2026-01-25,12,1.0,6,552.0,184.09199999999998,0.33349999999999996
