week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,12,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,12,1.0,0,0.0,0.0,
2025-10-27/2025-11-02,12,1.0,0,0.0,0.0,
2025-11-03/2025-11-09,12,1.0,0,0.0,0.0,
2025-11-10/2025-11-16,12,1.0,0,0.0,0.0,
2025-11-17/2025-11-23,12,1.0,21,483.0,51.887999999999984,0.1074285714285714
2025-11-24/2025-11-30,12,1.0,115,3039.0,28.806499999999968,0.009478940440934508
2025-12-01/2025-12-07,12,1.0,39,1127.0,33.34999999999997,0.029591836734693854
2025-12-08/2025-12-14,12,1.0,22,552.0,-54.165000000000006,-0.09812500000000002
2025-12-15/2025-12-21,12,1.0,41,1104.0,-305.4515,-0.27667708333333335
2025-12-22/2025-12-28,12,1.0,17,506.0,230.64399999999998,0.4558181818181818
2025-12-29/2026-01-04,12,1.0,5,115.0,-30.705,-0.26699999999999996
2026-01-05/2026-01-11,12,1.0,26,644.0,128.225,0.19910714285714284
2026-01-12/2026-01-18,12,1.0,42,1495.0,-249.06699999999998,-0.1666
2026-01-19/2026-01-25,12,1.0,6,552.0,184.09199999999998,0.33349999999999996
