week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,56,3773.0,55.72300000000001,0.014768884177047446
2025-10-06/2025-10-12,11,0.924399733543396,138,9911.074569225311,-661.1740900657774,-0.06671063621282565
2025-10-13/2025-10-19,12,0.7037266492843628,194,15161.784747481346,-94.55772215807428,-0.006236582548356128
2025-10-20/2025-10-26,12,0.4798247814178467,258,14190.221588611603,495.54437027359035,0.034921538552385306
2025-10-27/2025-11-02,12,0.33602726459503174,163,6256.314228892326,304.1292618250252,0.04861157075847051
2025-11-03/2025-11-09,12,0.2782193422317505,229,8264.003223776817,-634.3244082255959,-0.07675752187517865
2025-11-10/2025-11-16,12,0.2771179676055908,144,4827.032367706299,-513.0132878428698,-0.10627923095668873
2025-11-17/2025-11-23,12,0.2983248233795166,210,8745.423084974289,-187.08541360199445,-0.021392379966548466
2025-11-24/2025-11-30,12,0.26296013593673706,212,8038.027233242989,531.476881370485,0.06612031359789976
2025-12-01/2025-12-07,12,0.2724292278289795,156,5906.070716381073,173.76382348525527,0.029421222980501077
2025-12-08/2025-12-14,12,0.2825177311897278,139,5680.2885946035385,627.0647118174138,0.11039310791588054
2025-12-15/2025-12-21,12,0.28048431873321533,93,4015.5858771800995,167.04379738599062,0.041598860663215415
2025-12-22/2025-12-28,12,0.30523669719696045,53,2407.7056436538696,869.1087373349668,0.36096968066911644
2025-12-29/2026-01-04,12,0.3075385093688965,22,1004.4207715988159,-144.10608718156814,-0.14347183098591548
2026-01-05/2026-01-11,12,0.2975543141365051,95,4200.155779659748,162.1713227846027,0.03861078762124868
2026-01-12/2026-01-18,12,0.29719555377960205,81,3556.6103390455246,132.10993606728317,0.0371449001924504
