week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,31,2040.0,587.072,0.28778039215686274
2025-10-13/2025-10-19,12,1.0,64,4786.0,1995.876,0.4170238194734643
2025-10-20/2025-10-26,12,0.6550058126449585,106,6667.704813241959,3498.6079907970425,0.5247094898155751
2025-10-27/2025-11-02,12,0.4923819899559021,128,4774.0852372050285,1280.251413262874,0.26816685284245
2025-11-03/2025-11-09,12,0.4282662868499756,181,7370.59095621109,2292.4687728074787,0.31102916800391
2025-11-10/2025-11-16,12,0.44198960065841675,153,7269.535288155079,1222.3111665014922,0.16814158237777813
2025-11-17/2025-11-23,12,0.41693055629730225,196,9133.2043197155,3043.631929137528,0.333249079139438
2025-11-24/2025-11-30,12,0.3776564598083496,245,10894.771206378937,4954.783132674455,0.4547854231003408
2025-12-01/2025-12-07,12,0.3460514545440674,213,8649.265087604523,2561.914565563679,0.2962002597463711
2025-12-08/2025-12-14,12,0.33672523498535156,176,6993.935808181763,3466.9707444067,0.49571097583579626
2025-12-15/2025-12-21,12,0.34028345346450806,100,4290.7492200136185,1946.5192349888086,0.4536548596011003
2025-12-22/2025-12-28,12,0.33816421031951904,60,2529.5552574396133,989.6410005270244,0.39123122438872027
2025-12-29/2026-01-04,12,0.3420878052711487,20,818.2740302085876,-199.95784811270238,-0.24436538461538462
2026-01-05/2026-01-11,12,0.33816421031951904,106,4362.666144728661,635.0154759933948,0.145556743268259
2026-01-12/2026-01-18,12,0.3379703760147095,67,2881.7548015117645,369.8674874527455,0.12834800769958413
