date,stake_usd,profit_cap2_usd,week,alpha_global
2025-11-14,161.0,5.105999999999998,2025-11-10/2025-11-16,1.0
2025-11-15,414.0,-120.78450000000001,2025-11-10/2025-11-16,1.0
2025-11-23,1150.0,-23.598000000000013,2025-11-17/2025-11-23,1.0
2025-12-07,391.0,-72.91,2025-12-01/2025-12-07,1.0
2025-12-12,828.0,137.56300000000002,2025-12-08/2025-12-14,1.0
2025-12-13,483.0,-1.4950000000000045,2025-12-08/2025-12-14,1.0
2025-12-19,1127.0,137.3905,2025-12-15/2025-12-21,1.0
2025-12-21,69.0,-23.69,2025-12-15/2025-12-21,1.0
2025-12-26,322.0,145.107,2025-12-22/2025-12-28,1.0
2026-01-02,115.0,-30.705,2025-12-29/2026-01-04,1.0
2026-01-03,46.0,-46.0,2025-12-29/2026-01-04,1.0
2026-01-06,3704.849640607834,-438.0816423652172,2026-01-05/2026-01-11,0.9067357182502747
2026-01-09,875.9067038297653,153.28367317020894,2026-01-05/2026-01-11,0.9067357182502747
2026-01-10,208.54921519756317,48.77966143471002,2026-01-05/2026-01-11,0.9067357182502747
2026-01-13,3016.0881905555725,-687.9741273303032,2026-01-12/2026-01-18,0.7146288156509399
2026-01-16,345.165717959404,-35.56850541257859,2026-01-12/2026-01-18,0.7146288156509399
2026-01-17,82.1823137998581,67.06076806068421,2026-01-12/2026-01-18,0.7146288156509399
