week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,12,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,12,1.0,0,0.0,0.0,
2025-10-27/2025-11-02,12,1.0,0,0.0,0.0,
2025-11-03/2025-11-09,12,1.0,0,0.0,0.0,
2025-11-10/2025-11-16,12,1.0,25,575.0,-115.67850000000001,-0.20118000000000003
2025-11-17/2025-11-23,12,1.0,50,1150.0,-23.598,-0.02052
2025-11-24/2025-11-30,12,1.0,0,0.0,0.0,
2025-12-01/2025-12-07,12,1.0,17,391.0,-72.91,-0.1864705882352941
2025-12-08/2025-12-14,12,1.0,57,1311.0,136.06799999999998,0.10378947368421051
2025-12-15/2025-12-21,12,1.0,52,1196.0,113.7005,0.0950673076923077
2025-12-22/2025-12-28,12,1.0,14,322.0,145.107,0.4506428571428571
2025-12-29/2026-01-04,12,1.0,7,161.0,-76.705,-0.4764285714285714
2026-01-05/2026-01-11,12,0.9067357182502747,79,4789.305559635162,-236.01830776029817,-0.049280277656428645
2026-01-12/2026-01-18,12,0.7146288156509399,67,3443.4362223148346,-656.4818646821975,-0.19064731340976618
