week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,12,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,12,1.0,0,0.0,0.0,
2025-10-27/2025-11-02,12,1.0,0,0.0,0.0,
2025-11-03/2025-11-09,12,1.0,0,0.0,0.0,
2025-11-10/2025-11-16,12,1.0,0,0.0,0.0,
2025-11-17/2025-11-23,12,1.0,5,230.0,110.39999999999998,0.4799999999999999
2025-11-24/2025-11-30,12,1.0,0,0.0,0.0,
2025-12-01/2025-12-07,12,1.0,0,0.0,0.0,
2025-12-08/2025-12-14,12,1.0,56,2506.0,88.49800000000002,0.03531444533120511
2025-12-15/2025-12-21,12,1.0,36,1499.0,-153.091,-0.10212875250166778
2025-12-22/2025-12-28,12,1.0,19,881.0,133.38800000000003,0.1514052213393871
2025-12-29/2026-01-04,12,1.0,0,0.0,0.0,
2026-01-05/2026-01-11,12,1.0,20,1094.0,77.505,0.070845521023766
2026-01-12/2026-01-18,12,1.0,117,6363.0,-57.51000000000011,-0.009038189533239056
