rule_key,mean_week_profit,ci95_lo,ci95_hi,p_week_pos,p_week_neg
FT|quarta-feira,70.93750000000001,-59.81328124999999,212.81406249999992,0.3125,0.25
FT|terça-feira,64.90625,3.375,136.5,0.375,0.125
FT|segunda-feira,64.3125,-6.064062499999999,137.5625,0.5,0.0625
FH|quinta-feira,38.1875,-47.81406250000001,138.1875,0.375,0.1875
FH|terça-feira,21.156249999999996,-64.5640625,91.96875,0.3125,0.125
FT|sexta-feira,17.000000000000004,0.0,44.06250000000001,0.125,0.0
FH|sábado,7.46875,-63.37578125,72.71875,0.4375,0.3125
FT|sábado,-4.09375,-97.59375000000003,101.56484374999981,0.25,0.25
FH|sexta-feira,-5.75,-39.53125,32.36171874999843,0.0625,0.1875
FT|domingo,-16.53125,-48.15625,0.0,0.0,0.125
FH|quarta-feira,-18.3125,-74.90703125,34.56250000000001,0.1875,0.3125
FH|domingo,-31.406250000000004,-87.75000000000001,0.0,0.0,0.125
FT|quinta-feira,-35.28125,-115.1875,7.90625,0.125,0.0625
