test_week,train_weeks,bet_type,dow_pt,score_col,cutoff,stake_frac,alpha_global,status,rule_key,roi_bias_adj_used
2025-09-29/2025-10-05,10,FT,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,too_few_weeks,FT|segunda-feira,0.0
2025-09-29/2025-10-05,10,FT,terça-feira,proba_raw_terca,1.0,0.0,1.0,too_few_weeks,FT|terça-feira,0.0
2025-09-29/2025-10-05,10,FT,quarta-feira,proba_raw_quarta,1.0,0.0,1.0,too_few_weeks,FT|quarta-feira,0.0
2025-09-29/2025-10-05,10,FT,quinta-feira,proba_raw_segqui,1.0,0.0,1.0,too_few_weeks,FT|quinta-feira,0.0
2025-09-29/2025-10-05,10,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FT|sexta-feira,0.0
2025-09-29/2025-10-05,10,FT,sábado,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FT|sábado,0.0
2025-09-29/2025-10-05,10,FT,domingo,proba_raw_sexdom,1.0,0.0,1.0,too_few_weeks,FT|domingo,0.0
2025-09-29/2025-10-05,10,FH,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,no_data,FH|segunda-feira,0.0
2025-09-29/2025-10-05,10,FH,terça-feira,proba_raw_terca,1.0,0.0,1.0,too_few_weeks,FH|terça-feira,0.0
2025-09-29/2025-10-05,10,FH,quarta-feira,proba_raw_quarta,1.0,0.0,1.0,too_few_weeks,FH|quarta-feira,0.0
2025-09-29/2025-10-05,10,FH,quinta-feira,proba_raw_segqui,1.0,0.0,1.0,too_few_weeks,FH|quinta-feira,0.0
2025-09-29/2025-10-05,10,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FH|sexta-feira,0.0
2025-09-29/2025-10-05,10,FH,sábado,proba_raw_sexdom,1.0,0.0,1.0,too_few_weeks,FH|sábado,0.0
2025-09-29/2025-10-05,10,FH,domingo,proba_raw_sexdom,1.0,0.0,1.0,too_few_weeks,FH|domingo,0.0
2025-10-06/2025-10-12,11,FT,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,too_few_weeks,FT|segunda-feira,0.0
2025-10-06/2025-10-12,11,FT,terça-feira,proba_raw_terca,1.0,0.0,1.0,too_few_weeks,FT|terça-feira,0.0
2025-10-06/2025-10-12,11,FT,quarta-feira,proba_raw_quarta,1.0,0.0,1.0,too_few_weeks,FT|quarta-feira,0.0
2025-10-06/2025-10-12,11,FT,quinta-feira,proba_raw_segqui,1.0,0.0,1.0,no_candidate,FT|quinta-feira,0.0
2025-10-06/2025-10-12,11,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FT|sexta-feira,0.0
2025-10-06/2025-10-12,11,FT,sábado,proba_raw_sexdom,0.37,0.02,1.0,ok,FT|sábado,0.0
2025-10-06/2025-10-12,11,FT,domingo,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FT|domingo,0.0
2025-10-06/2025-10-12,11,FH,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,no_data,FH|segunda-feira,0.0
2025-10-06/2025-10-12,11,FH,terça-feira,proba_raw_terca,1.0,0.0,1.0,too_few_weeks,FH|terça-feira,0.0
2025-10-06/2025-10-12,11,FH,quarta-feira,proba_raw_quarta,1.0,0.0,1.0,too_few_weeks,FH|quarta-feira,0.0
2025-10-06/2025-10-12,11,FH,quinta-feira,proba_raw_segqui,0.05,0.07,1.0,ok,FH|quinta-feira,0.0
2025-10-06/2025-10-12,11,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FH|sexta-feira,0.0
2025-10-06/2025-10-12,11,FH,sábado,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FH|sábado,0.0
2025-10-06/2025-10-12,11,FH,domingo,proba_raw_sexdom,1.0,0.0,1.0,too_few_weeks,FH|domingo,0.0
2025-10-13/2025-10-19,12,FT,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,too_few_weeks,FT|segunda-feira,0.0
2025-10-13/2025-10-19,12,FT,terça-feira,proba_raw_terca,1.0,0.0,1.0,too_few_weeks,FT|terça-feira,0.0
2025-10-13/2025-10-19,12,FT,quarta-feira,proba_raw_quarta,1.0,0.0,1.0,too_few_weeks,FT|quarta-feira,0.0
2025-10-13/2025-10-19,12,FT,quinta-feira,proba_raw_segqui,0.19,0.01,1.0,ok,FT|quinta-feira,0.0
2025-10-13/2025-10-19,12,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FT|sexta-feira,0.0
2025-10-13/2025-10-19,12,FT,sábado,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FT|sábado,0.0
2025-10-13/2025-10-19,12,FT,domingo,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FT|domingo,0.0
2025-10-13/2025-10-19,12,FH,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,no_data,FH|segunda-feira,0.0
2025-10-13/2025-10-19,12,FH,terça-feira,proba_raw_terca,1.0,0.0,1.0,too_few_weeks,FH|terça-feira,0.0
2025-10-13/2025-10-19,12,FH,quarta-feira,proba_raw_quarta,1.0,0.0,1.0,too_few_weeks,FH|quarta-feira,0.0
2025-10-13/2025-10-19,12,FH,quinta-feira,proba_raw_segqui,0.29,0.07,1.0,ok,FH|quinta-feira,0.0
2025-10-13/2025-10-19,12,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FH|sexta-feira,0.0
2025-10-13/2025-10-19,12,FH,sábado,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FH|sábado,0.0
2025-10-13/2025-10-19,12,FH,domingo,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FH|domingo,0.0
2025-10-20/2025-10-26,13,FT,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,too_few_weeks,FT|segunda-feira,0.0
2025-10-20/2025-10-26,13,FT,terça-feira,proba_raw_terca,1.0,0.0,1.0,too_few_weeks,FT|terça-feira,0.0
2025-10-20/2025-10-26,13,FT,quarta-feira,proba_raw_quarta,1.0,0.0,1.0,too_few_weeks,FT|quarta-feira,0.0
2025-10-20/2025-10-26,13,FT,quinta-feira,proba_raw_segqui,0.13,0.03,1.0,ok,FT|quinta-feira,0.0
2025-10-20/2025-10-26,13,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FT|sexta-feira,0.0
2025-10-20/2025-10-26,13,FT,sábado,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FT|sábado,0.0
2025-10-20/2025-10-26,13,FT,domingo,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FT|domingo,0.0
2025-10-20/2025-10-26,13,FH,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,too_few_weeks,FH|segunda-feira,0.0
2025-10-20/2025-10-26,13,FH,terça-feira,proba_raw_terca,1.0,0.0,1.0,too_few_weeks,FH|terça-feira,0.0
2025-10-20/2025-10-26,13,FH,quarta-feira,proba_raw_quarta,1.0,0.0,1.0,too_few_weeks,FH|quarta-feira,0.0
2025-10-20/2025-10-26,13,FH,quinta-feira,proba_raw_segqui,0.29,0.03,1.0,ok,FH|quinta-feira,0.0
2025-10-20/2025-10-26,13,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FH|sexta-feira,0.0
2025-10-20/2025-10-26,13,FH,sábado,proba_raw_sexdom,0.43,0.04,1.0,ok,FH|sábado,0.0
2025-10-20/2025-10-26,13,FH,domingo,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FH|domingo,0.0
2025-10-27/2025-11-02,14,FT,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,too_few_weeks,FT|segunda-feira,0.0
2025-10-27/2025-11-02,14,FT,terça-feira,proba_raw_terca,1.0,0.0,1.0,no_candidate,FT|terça-feira,0.0
2025-10-27/2025-11-02,14,FT,quarta-feira,proba_raw_quarta,0.13,0.01,1.0,ok,FT|quarta-feira,0.0
2025-10-27/2025-11-02,14,FT,quinta-feira,proba_raw_segqui,1.0,0.0,1.0,no_candidate,FT|quinta-feira,0.0
2025-10-27/2025-11-02,14,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FT|sexta-feira,0.0
2025-10-27/2025-11-02,14,FT,sábado,proba_raw_sexdom,0.39,0.02,1.0,ok,FT|sábado,0.0
2025-10-27/2025-11-02,14,FT,domingo,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FT|domingo,0.0
2025-10-27/2025-11-02,14,FH,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,too_few_weeks,FH|segunda-feira,0.0
2025-10-27/2025-11-02,14,FH,terça-feira,proba_raw_terca,1.0,0.0,1.0,too_few_weeks,FH|terça-feira,0.0
2025-10-27/2025-11-02,14,FH,quarta-feira,proba_raw_quarta,1.0,0.0,1.0,no_candidate,FH|quarta-feira,0.0
2025-10-27/2025-11-02,14,FH,quinta-feira,proba_raw_segqui,1.0,0.0,1.0,no_candidate,FH|quinta-feira,0.0
2025-10-27/2025-11-02,14,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FH|sexta-feira,0.0
2025-10-27/2025-11-02,14,FH,sábado,proba_raw_sexdom,0.43,0.03,1.0,ok,FH|sábado,0.0
2025-10-27/2025-11-02,14,FH,domingo,proba_raw_sexdom,1.0,0.0,1.0,no_candidate,FH|domingo,0.0
2025-11-03/2025-11-09,15,FT,segunda-feira,proba_raw_segunda,1.0,0.0,1.0,too_few_weeks,FT|segunda-feira,0.0
2025-11-03/2025-11-09,15,FT,terça-feira,proba_raw_terca,0.13,0.03,1.0,ok,FT|terça-feira,0.0
2025-11-03/2025-11-09,15,FT,quarta-feira,proba_raw_quarta,0.19,0.01,1.0,ok,FT|quarta-feira,-0.042481672858214664
